word,score,word_count
simoneharvey1athotmail.com,0.7577000856399536,1
frash,0.5672351717948914,1
déjeuner,0.46400704979896545,1
tokidoki,0.4510273337364197,1
tapes,0.44414737820625305,1
incredable,0.44111213088035583,1
besøk,0.405400812625885,1
buena,0.36985668540000916,1
además,0.3277706801891327,1
munchie,0.32071253657341003,1
unparallelled,0.3138419985771179,1
argentine,0.2998441457748413,1
pinoy,0.2898748815059662,1
décontracté,0.2742200791835785,1
sous,0.2725274468830321,2
delicioso,0.2717653810977936,1
shoutout,0.24602899079521498,3
meilleurs,0.23945710062980652,2
‼,0.23492754995822906,1
perogies,0.21653718361631036,2
attentative,0.21029703319072723,1
straightforward,0.2096472680568695,3
chouette,0.2035624086856842,1
favourite,0.19978597723678046,51
price-$7,0.1942620575428009,1
xian,0.19180519878864288,1
sarra,0.18604455888271332,1
marcel,0.18352657556533813,1
atmopsphere,0.18295036256313324,1
summertime,0.18044087194721214,2
zuvorkommend,0.17642329633235931,1
ramin,0.1757935881614685,1
yummm,0.175033425912261,4
scrumptious,0.16964693225454539,10
uo,0.16818273067474365,1
gynecologist,0.16817203164100647,1
consistant,0.1664413893595338,2
merginue,0.1662905514240265,1
atención,0.16455116868019104,1
incontournable,0.16339929401874542,1
walkable,0.16118952631950378,2
resonable,0.1609553098678589,1
athletes,0.16012987616704777,4
here!!the,0.15866580605506897,1
addicted,0.15192127664600516,14
views,0.15180103618063426,19
inexpensive,0.15140292017895263,32
sympathique,0.15067927042643228,3
unparalleled,0.14935885618130365,3
portrait,0.1492430088110268,2
lashon,0.148964986205101,1
bomb.com,0.14689998608082533,4
restaurants/,0.14505717158317566,1
yummy,0.14387214707448057,204
entretenu,0.14353306591510773,1
choix,0.14346019364893436,4
extension,0.14084321309346706,5
diggity,0.1390831619501114,1
delish,0.1389491852479861,37
bartender-,0.13874408602714539,1
fabrics,0.13754193337323764,3
professors,0.13700447976589203,1
injector,0.1331699788570404,1
secluded,0.1316368579864502,1
18-hole,0.13102611899375916,1
bulgarian,0.1301407665014267,1
bonne,0.1292451499029994,3
gr8,0.12911871075630188,1
aftetnoon,0.12611794471740723,1
nuro,0.12551474571228027,1
pub-,0.12282925844192505,1
assistant-,0.12202809005975723,1
pastabar,0.12195321172475815,1
scenery,0.12027734832372516,5
marscapone,0.12019940465688705,1
exterminating,0.11973953247070312,1
indebted,0.11939499527215958,1
awesome,0.11867406189701633,700
pumped,0.1186711223031125,2
amazing,0.11685031712803713,1190
knowledgable,0.11568402648637337,28
notch,0.11528828693413545,83
vinyl,0.11409664872564917,4
incredible,0.11329279912301195,142
horizontally,0.11263646185398102,1
fantastic,0.11184120884416651,362
yota,0.11136261373758316,1
courteous,0.11004886924929451,80
good.will,0.10968726128339767,1
affordable,0.10892344493304892,98
accommodating,0.10784763742206754,90
format,0.10660345776705071,2
cheerful,0.10626313688408118,8
intuitive,0.10580313382670284,5
eddies,0.10566985607147217,1
bonus-,0.10566927492618561,1
delicious,0.10561308042762929,1173
relaxed,0.10467132193298312,32
miro,0.10436231642961502,1
outstanding,0.10418027155403117,135
unusal,0.10393001139163971,1
newdermamed,0.10387837141752243,1
sûr,0.1036108061671257,1
campers,0.10349525511264801,1
knowledgeable,0.10244553687461164,105
fabulous,0.1019509204010579,84
vhs,0.10069043934345245,1
assortment,0.09967677396198268,10
j.e.p.,0.09951119124889374,1
endroit,0.09744696070750554,3
newyork,0.0973869189620018,1
printout,0.097333624958992,1
pelleco,0.09719863533973694,1
spectrum,0.09664117451757193,2
turnout,0.09657727926969528,1
floyd,0.09599030017852783,1
transformation,0.09571170061826706,1
tasteful,0.09567425323829022,7
carmalized,0.09507550299167633,1
excellente,0.09483142805402167,2
unbeatable,0.09446912024005931,7
perfect,0.09434014426824615,499
saki,0.09396919561913819,4
bologna,0.09388688682884094,3
chinese/,0.09310775250196457,1
impeccable,0.09306226720890173,26
gem,0.09292236618632789,104
pleased,0.09263933825604909,112
delightful,0.0924844617118305,42
luluemon,0.09235046803951263,1
copieux,0.09211134165525436,1
deelish,0.09181955146292846,3
recomendable,0.09145929664373398,1
love,0.09113992085527366,1562
professional,0.0911201144646377,268
helpful,0.0910135542162905,366
colorist,0.09031778492499143,3
favorite,0.08994912659059301,561
readily,0.08987313865994413,3
firepits,0.08921388536691666,1
oat,0.08851999172475189,2
excellent,0.08796752179440927,578
library,0.087831935864718,6
exquisitely,0.08708713746940096,3
satisfying,0.08654192469682154,37
lebanese,0.08562942188291345,2
elegance,0.08561921620275825,3
butterfinger,0.08552943915128708,1
broderick,0.08451268821954727,1
voila,0.08419386794169743,3
catalogue,0.0836152657866478,1
phenomenal,0.08292122274312229,60
molten,0.08277889944050305,3
genius,0.08276855895140518,12
seamless,0.08245859353337437,5
deliciosos,0.08228103071451187,1
cozy,0.08220701712310653,88
workmanship,0.08160310927669343,5
complimentary,0.08093103866444015,61
idée,0.08068869262933731,1
efficient,0.08010703236746138,92
cappuccinos,0.080025315284729,1
delicous,0.07991631994290012,7
talented,0.07973654390535438,23
landscaped,0.07951145619153976,1
hideous,0.07918812334537506,1
addictive,0.0788570723729208,10
themes,0.07883190363645554,1
vienna,0.0782976821064949,1
great,0.07795235134678322,4074
flavorful,0.07764968423120935,166
ventilated,0.07612283644266427,2
best,0.0760943694011684,1779
authentic,0.07541824350045409,178
interractive,0.07491939514875412,1
guitarists,0.07489487528800964,1
mingling,0.07479230826720595,2
zuzus,0.07443628460168839,1
adorable,0.07434349173597772,17
wonderful,0.07411676554026851,327
loved,0.0733396365842535,439
grateful,0.07279873883315555,29
havana,0.07265302538871765,1
certainty,0.0723732728511095,2
feeling-,0.07232695072889328,1
recommend,0.07223502795802157,1124
infusions,0.07205904275178909,1
pbj,0.072040855884552,1
obliging,0.07182613760232925,1
hawaiian,0.07164263467105532,24
reasonable,0.07153036192769405,257
friendly,0.07130189347383442,1513
prompt,0.07127062339209195,69
5/5,0.07088022146225822,11
fav,0.0702998556874015,22
creatives,0.07016244704209385,2
-outta,0.07010423392057419,1
bless,0.07000247265968937,10
francesca,0.06998523644870147,3
considerate,0.06994423270225525,3
camper,0.06961413600947708,6
actor,0.06957237422466278,1
fave,0.06938930590533549,27
skyfall,0.06935211271047592,1
exhilarating,0.06920669227838516,1
amazing.if,0.0689050555229187,1
brilliant,0.06858210500067799,20
coo,0.06836362928152084,1
amazement,0.06830772571265697,2
comfy,0.06799213328230069,27
refreshing,0.06788911510811886,50
groovy,0.06766939566781123,3
personable,0.06757271495492508,48
robins,0.06736442749388516,2
gorgeous,0.06713506329532076,41
minimalist,0.06712777756911237,4
flavourful,0.06695188101506434,26
lace,0.06691205770766828,2
perfectly,0.06638153222226338,234
tiramisù,0.06638144701719284,1
warmly,0.06489395968277346,11
extravaganza,0.06465519964694977,1
eclectic,0.06424042598136064,19
accomodating,0.06410620744149624,11
laotian,0.06405131262727082,4
empathetic,0.0638587933499366,2
stunning,0.06385828857310116,14
yin,0.06366457790136337,1
exquisite,0.06333182337938954,19
baaaaack,0.06326659768819809,1
puppet,0.0628502368927002,1
tasty,0.06276405478830221,499
giordanos,0.06272261589765549,1
j.e.p,0.061902363537228666,2
stephie,0.06154988333582878,1
worksite,0.0613112673163414,1
yum,0.06096836053214869,95
eiffel,0.060797581492806785,2
hehehe,0.06079505383968353,1
helpfully,0.06066754344161988,3
ooey,0.06034189462661743,1
nouveau,0.05997727811336517,1
quiet,0.059967279587036335,98
scents,0.05990116050816141,2
bomb,0.05974683063127136,52
spartan,0.0594778343802318,3
