0,1,2,3,4,5,6,7,8,9
mattress,@colequitman,superexcited,50000,threes,shooter,techniques,spanner,@jannakannard,gettogether
@nathanireton8,guess,@codysimpson,@justinbieber,@ynahmean_knw,freezinghands,@emleefaye,intials,ironic,lasvegas
mieke,composed,get2knowhim,@tessawood1,shocker,day!!î,@logankellams,peek,signature,@_sophco
tampons,rolltideroll,allworldstogether,palace,somethingnew,balloons,girly,mommmy,priyanka,unauthorized
chacha,surprize,spotted,preggers,forrealz,@foreverfit4u,secret,thanksdaddy,didntexpectthat,huh
@chrisbsharp,thatsarecord,melon,unexpected,santorum,goodholidayanyway,wheelchair,sarcasim,arrive,nextweek
thunk,sayin,@jesus,decoded,@nikkiwarnz,academy,cutler,whitehouse,@lindsay_mathers,blonder
disappoint,@jon1093,thanksfrank,surprise,expectations,madrid,hc,@katjabecker,@lucyfur1980,chamber
holidayplans,coffeehealseverything,kinky,itsnevermoney,jasam,ent.~,katy,mayday,ebay,byzpo
choosewisely,@ayyo_kyle,anticipating,imgonnaforgetitalltomorrow,aniversary,sergio,@stoody21,#surprise,@ccfctweetleague,bun
funniest,@_caitlinohh,picky,@k_waltz13,vigilant,rawlins,have'em,1:0,underestimate,astonishment
@j_kirb3,wiz,earring,aisle,cadeau,virginia,@thexfactor,@nyshababi,newyears,roomies
tease,no-1,getready,makayla,@luciamhnas,@crispysmores18,hmmmm,abode,gonnabealongnight,birthday
shrooommmsrt,classmate,@ricapica,scaring,walks,brightened,gobbled,notice,audience,capricorn
favoritesweaters,lazyday,stefanie,wasn't,tahir,@cjeffery20,delhi,christmas.(sarcasm,scuffles,loveofmylife
sneaky,shhhhhh,hippity,richness.otherwise,obnoxious,@jimjones,bestestest,probe,yes&$600,fedex
maryland,@scificaper,@niinamarie,@sammibruner,stashed,@ronniefrown19,moles,garth,stash,whycantweallgetalong
classy,boulder,@doryofmylife,spontaneous,veggie,tweetdeck,@thekidjosiah,dropping,prezzie,arranged
fyi,sohappy,bola,chose,chosen,unwrapped,newark,youregettingfivepages,hawaii,happyholidays
@mel_hayes07,neil,freaky,spontaniousplanning,knows,cunts,survived,winner,girlies,surprised
suffice,sell,darrell,panties,melsbday,bfff,childishness,@katiemargolles,@msstovall,octranspo
coors,sunderland,facetious,@philaspin,fare,@britneyspears,wud,amazed,reenactor,@flemister_kay57
worksheets,birthdaaay,louis,announce,cleanbillofhealth,stoned,kaminey,refrigerator,dom,zipped
twist,browns,bootexas,@gammage210,kidding,illkeepyouposted,causing,headliner,solemn,daddi
karmasabitch,comecheckitout,@hanabananaz,hartleyplace,ihg,brinner,"arthur,,,louis",notttt,hers,aamir
