0,1,2,3,4,5,6,7,8,9
fatal,@hmusa,premature,blister,mehhh,@ctalley17,fanfictions,arnt,@ml_hudson,freezes
anymore,numbered,.and,@dozin4dayz,dodo,occupybeauregards,sadly,nail,@aserenitatum,reunion
deaths,@heidipilson,f**k,teeter,losing,@narcissebreed,dreeting,@scott2008z06,disappointed,midseason
unauthorized,overused,@markchapmanband,wahhhhh,reruns,ruins,nor,@miklustic,hershel,tragic
missed,@lastnamebabyboy,@coconikki82,@camdynolivia23,@colormyfaith,sadness,soundtrack,joan,finale,@rriannasparks
@luv_shaq,inlove,alas,nyt,so.sick,@hel_kel22,sheryl,selling,uselessness,@peteyg13
:(((,lect,@goddessyan,@lol_thatsbri,garbage,40k,quits,brokenheart,@madbec42,nobody
disbelief,tearful,@anniiwebb,@love_awaken,@frankie__says,whydidentmypartnerdoanything,@sarahweissy,@briehaner,@justiceyilek,u.u
dissolved,improper,canceled,spam,notsoperfectteethafterall,@patriciadenise,@ciaraa_lindsay6,@amywhetstone91,@meaganenewell,regretting
cali,@lindseyprobst,stillcheaperthanuc,"3,000",dramatically,crashed,stampede,mccoy,crepes,rerun
revive,reliving,pabst,@colleenchiuchiu,distraught,goodbyes,@nepeandunk,threesome,losses,disturbingly
@thereal1_smity,happen.i,dinners,orphan,breakk,gardener,defeat,@jullz_isa_chink,@noah_lycett,saddest
havefun,bye~,parade,disappeared,@bigtimerush,disappointing,coors,"oppa,,,i",introspection,ok?:)<33
@charquaouia,@radikalchick,sans,depressed,active,judgment,@depresseddarth,baldhead,homesick,deleted
@laurenliscio,weeping,solo,thoughtsofsuicide,@toadsprocket08,missingvacationalready,absent,@iam_fet,delete,notreadytogrowup
twerking,dies,@zachbutcher2625,@nouf_aljammaz,melt,@bradfordreilly,@imalazymom,@tomperibonio,ruined,translate
bleh,maggie,dicaprio,nostalgia,=(,whyy,@alstons7,@katylynn_x,nooooooooooooooooooooo,prevents
factory,ellwood,@yawnster438,abandonment,tomorrow!=/,vonnegut,m.i.a,clare,@brianyarvual,tasteless
@irishduke2,traumatized,byzpo,shatter,riley,modesto,hcc,fades,@dimplessextoy,suddeninspiration
sry,betrayal,missin,wacky,@astrobass87,@illestmc_tas,90210ftw,thatwasamazing,:((,@joan_rivers
lack,broke,carless,failed,mailimusic,@trey_wiggs,mourn,nowplaying,starving,@laviede_kerrie
daryl,dissapointment,@aloss4words,emerson,participate,amc,autograph,goodbye,@crazysunnyme,homework!
tomorow,distant,retired,pittsburgh,heartbroken,:(,underachieving,sorrowful,wish,ewok
moneydownthedrain,gradschoolproblems,@bryannalonick,@denneking23,gordons,stayfarawayfrommeif,@megjane25,drained,boredom,exiled
@lauren_ables,@lfpfantasy_mike,blaaaaaaaaaaaaaaaaaaaaaaah,degraded,onlythedouchebagswon,getwellsoon,@steelcityknight,@treytreyasbell,:'(,dixieland
@undergroundpixl,keeplearning,joes,philly,disappearing,@comiskularperk,moping,stolen,relationshipiskey,retire
fails,sectionals,reconnect,sleepwithjosh,>:(,sick1,condolences,significant,crowding,retweeting
suicide,forealz,lovato,ican't,imoverit,failing,@palpitatingpaul,yuck,=/,permanently
circles,lost,growgrowgrow,exhaustion,@kristennblack,stale,michigan,california,fangirls,collapse
@r_holley3,vex,disaster,retirement,lob,separated,schwinn,@justintime_24,graduation,twexit
heaven,babywithdrawal,died,bummed,discontinued,cantbelieveshesgone,downs,@twilight,stupidschool,@avneet_b
savin,@rachcav,hanukkah,unfollow,drakes,@mrmando_12,@michaelianblack,fsu,@tykeyes92,@justcallmekiku
@seattlemaven,boring,2006,@bsaundsjr,@y_strahovski,responds,@skhoy,@covergirl_2013,satiated,oregon
cuts,casual,.couldnt,@walkingdead_amc,sleepoverincameron,miss_fî“fî’_90,@mahonesgirl1515,miserably,@ambscrowe94,there:/
unfollowed,eddy,someimes,void,longing,terribly,boyband,@siktouch,bordering,@_alwaysshine
discouraged,thoughxd,@toria_renae,fantasyfootball,whineytweet,@spicksspecksabc,eardrum,@sarahhoward1231,loserlikeme,bond
grieve,godeacs,funeral,@antoniaskomolo,wasnt,disney.com,rp,tolazytomove,@jewlittle,isitbecauseidontmakeyoucupcakes
imissyl,despicable,eliminated,@kerlynlesmes,recall,mylifeisaverage,kylie,free--,seatbelts,crushed
....................,tore,annabelle,cutt,closed,4.5,funerals,rejected,@meghanpickett,@aleahruth
italy,tears,reynolds,beckett,rockout,work+hungry=,jiggs,loneliness,@apoloohno,butiloveit
@nikkilea29,wished,emo,@deyna_otter,foreveralone,inactive,@ashelysmashley,apart<3,staging,tootiredtoeventhinkofacleverhashtagtopic
capricorn,lacking,absence,@_john_henson,wahh,@benstratton1,destroyed,lonely,kellen,@hayabigale
r.i.p,remorse,drifting,ripgoodlupe,fella,@ellenclare47,stargazing,@utorak007,@v1sh4l,oakland
wrecks,@sammipie_123,empty,doggie,depression,waaaa,@arianaran,torte,tweetrt,eastcoastproblems
hasbro,decembergrad,intrest,luckily,asu,breakup,sob,@emosnow42197,@capsmooth,bummer
@madiiyoungg,meaningless,lametweet,unfortunately,advertisements,alcoholic,teared,meditation,@baileyb92,midwood
skater,@fuzywuzy8,anatomy,qt,@etrentongrewme,discombobulatedmindset,extinction,:-(((,@emilio_chacon,afro
nosedive,fuckdiversion,replay,@psmileyt,boooo,wanttoseeyouinallplaces,unexplained,downpour,.___________.,winehouse
unable,@mellyanneflo,@lilybriody,faded,2786,shriveled,missing,laziness,butchering,succumbed
chapmanproblems,critics,@soveryawkward,gone,@imran173,@bleedsgreen60,forgotten,@firstworldpains,@krissmithyy,@chadkello
clasico,desert,@rickysgotswag,n.a.,bottum,ohmypotato,forrealz,episodes,instagram,recklessestimations
memorial,kpele!!!rt,@pottyplant,sorryimnotsorry,@emmaboutcher13,lovefamily,burned,slut,wtd,#impatient
seperated,tear,ihatewhenthathappens,wahhhh,stressing,matric,loss,someonegivemeattention,mathew,broken
sebastian,joburg,seinfeld,roland,@thenearlydeads,wishes,@wtfatewm,cumberland,lonesome,îƒ
@maddiery,@anntillathehun,compared,@thekillerrabbit,thegoodwife,misses,boooooo,sad,@meganomalley4,friendzoned
@eleanorrsboots,withdrawals,digs,@lnvoge,paper(s,depressing,cal,@rugbychickz,farewell,@justinexclark
miss,cabs,:-(,passing,gray,@brokenhalo,ourfriendshipisarelationship,@ammunition4god,shabby,sorry
sadder,tetheredness,,,,,,,,
