0,1,2,3,4,5,6,7,8,9
wahhhh,foxandfriends,gags,eyeful,isanyoneup,@tiny_trauma,redecorated,shadiest,chrissy,misspellings
sheriff,@b_notay,rt@fina11ymadeit,rugrats,forbid,@cristinaaa,imnotlearningsquat,defines,flattered,lsulsu
@jennsutherland,qualityfilm,@toure_htz,parr,bayern,@heyheyheidi_pam,lowexpectations,wonâ€,@kendall_meyers,hermancain
sprinkles,serenaded,@maaarex3,morestuffithoughtwouldneverhappenagain,sniff,nadal,owhereowhereowhere,thurmans,noticing,underground
w|,metaphorical,bestbeawesome,autograph,halla,mamas,@rusty_roberts,@marketingmama,gunns,@holldoll2
suraj,@tasteurdreams,veela,pac-12,chemicals,jun,mmhmm,luckyme,bwahahahaha,dontunfollow
@kdclapp06,excelsis,lols,zach,hateatt,bollywood,patrons,raindeer,trivia,subbing
beliebers,@helenkinger,sdr,thisisgonnabefun,mainstream,gardener,@laurennn_c,@mackenzieguru,wobble,@yokoono
miscommunication,overeem,milan,---->@jayrealnomake,grandbaby,takers,isitbecauseidontmakeyoucupcakes,ohhappydays,@deancallis_pt,choosed
lover<3,probate,rosas,grocerystoressuck,toker,rhymed,fuckthiscrap,itstooearly,jury,arnold
@siholly,@brittanyy_lucas,barbican,wasteofagoodnapday,@im_a_key_pa,muchneededpickmeup,@k_schaffernoth,ohshit,uhhh,convention
undies,@allietaylor96,beings,stated,@gloriaestefan,derek,@clairelise95,mossad,@lauren__boyce,goodplan
yaaahhh,aggies,thisgirl,tomorrowat8,ostensibly,veo,anand,julio,giggles,miscounted
restrictive,@charlieee91,@justinexclark,gauteng,beleive,closes,nolubeorhardfeelings,threesome,readyyy,mr.perfect
spoiler,@lancasterpac,pointing,6.72,urinal,homer,rinsed,yeeey,leonardo,shhhhhhh
stacy,@sheardonp13,clatter,sil,ofc,betted,yeahhh,laundrette,conclusio,@logankellams
whatthehelldididowithmylifethispastyear,twittingwhendown,bebe,munters,lmk,@ladyp1785,barcelona,badnight,percieved,mears
cantbelieveshesgone,@danmax89,nomorepretendingiunderstandchinglish,aca,caribbean,@nicolaturner9,sonnet,@rccrazy30,favored,elite
#screwfinals,35centwings,pplonfacebookmaketwitter,tempah,norfolk,syd,ter,¥â˜€,randomthought,disney.com
retiring,somanybabieshere,imacelebrity,@melissatrunzo,moons,@david_swyers,armani,overused,tehe,@valrayjor
#hurryup,mississippi,digs,wahooo,seo,@purst0na1,@_john_henson,ewe,cohort,@n00gster
top100lies,letsforgetthiseverhappened,pantless,@jenngitt,marke,braids,jailbroke,@wickedpoptart,wacky,justmythoughts
havecourage,noida,@letaliar,girlfrend,tryit,ihavenotsleptyet,suitandtie,dvrs,hyvee,happiestplaceonearth
bestdayofmylife,cache,allready,offa,sued,tammy,@mymix1041,torte,@littledebbie,buds
imnotgonnaagetanythingdone,husby,unbeknown,insecurity,overheard,wpb,delaware,@bqueenston,tosh,blabbers
