0,1,2,3,4,5,6,7,8,9
unplayed,venti,@j_love09,@astrobass87,howlovely,lousy,lovato,alcoholic,tomorrow!=/,:(
shattered,sensethesarcasm,unable,free--,@allen_mclain,annabelle,saguaros,npc,@avneet_b,gordons
joan,exhaustion,freezes,paperproblems,blackfridaymaddness,exiled,winehouse,onerepublic,@utorak007,exodus
shatter,@bradfordreilly,fuquay,separated,hellooooo,@erin_glass15,anymore,@camdynolivia23,doodling,@nh7
participation,onemorereasontohateu,@rogerrthatt19,huwt,failing,@_alwaysshine,@kerlynlesmes,husbands,@colleenchiuchiu,canceled
doggie,butiamhopeful,rockout,bleh,downs,melancholic,miserably,@vintagececilia,@emilylevenson,shutupandsmile
@raywj,curses,=/,@siktouch,ekekekekeke,crashed,camille,fatass,longing,r.i.p
maggie,rewatch,kpele!!!rt,woodbridge,@charlottehanlan,praiseemforme,swtor,grieving,incoherent,seatbelts
vanish,@louise_johnston,shurmur,îƒ,wasteofagoodnapday,thatwasamazing,deaths,aamir,destroyed,homework!
@kaleighbrewer,sosimple,blistered,@psmileyt,lonely,@jordanwooten,clare,@dozin4dayz,@dukeofyorks,newmemberofourgroup
@_caitlinohh,boooooo,pasadena,brees,translate,@chadkello,@lilybriody,@jassmiinneee,stillcheaperthanuc,dicaprio
relationshipiskey,numbered,glitzy,world.#sadness,wrecks,40k,2-day,gottagetmotivated,@trclove2219,crust
disjointed,@love_awaken,overload,@ml_hudson,sectionals,@codyc_55,mailimusic,certficate,scheels,@arundanush
@maddiery,whatdididotodeservethis,babywithdrawal,emmy,fangirls,@soveryawkward,digs,drakes,srry,ifeelsmart
judgment,whyitsgreaselightening,so.sick,depressing,dodo,@rachcav,@lakutis,internalaffairs,dire,tweetheads
@its_klo_fosho,tetheredness,blamebiosciandorgchem,gone,excitedlyfrustrated,@patriciadenise,lost,@nepeandunk,sulking,disappears
succumbed,bringonthenextremove,reunited,.___________.,lager,@rickysgotswag,@holzapfel80,adaptive,dosent,moping
missin,isitbecauseidontmakeyoucupcakes,happen.i,whineytweet,@riseofa_kingski,@ammunition4god,remnants,cal,brokenheart,montreal
episodes,bond,clasico,malevolence,teared,nosedive,carlin,@baileyb92,orphan,bane
wtfuffle,@ashelysmashley,n.a.,skipping,stressingmeout,@emosnow42197,critics,pwgkliq,chars,autograph
wherehasthetimegone,burned,ffxi,clingy,wewe,overused,waaaan,>:(,@turkeyturner,reliving
@doryofmylife,smoldering,reynolds,dies,realizes,@thereal1_smity,@hel_kel22,weeping,tjp,@mega64official
@spicksspecksabc,5daysleft,@daniellezbodula,iagreeitdoesnthappenoftenenough,lettheangerbegin,dramatically,moodbooster,pons,drought,loserlikeme
@bruhimcreole,fashioned,graduation,margarito,iâ´m,fella,@kjtob11,ruined,@kennethmgracia,sans
irvine,watcher,sebastian,baldhead,@rob_moynihan,2786,woodlawn,retirement,@kristennblack,tastic
@rugbychickz,=(,@nikkiwarnz,@vennardrose,teary,miss,vonnegut,dtla,@huffingtonpost,@frankie_rf
disbelief,deathly,regretting,blindsided,sombodby,oblivion,pabst,zumba,musta,sameness
@covergirl_2013,@steelcityknight,blaaaaaaaaaaaaaaaaaaaaaaah,reenactor,@elpea_ox,@flynupee,nor,@madbec42,flooding,4.5
notinthemood,quits,sob,dissapointment,@rusty_roberts,crumbled,garbage,inadequate,poptarts,tomorroe
blacksheep,xsams!!!party,ihatewhenthathappens,@elliebondini,blister,@bryannalonick,boner,recall,flashbacks,@bethkatemiller
myfavorite,whyyyy,@flirtatiousjuju,@eturner43,soon.#sadness,retired,simpsons,unloved,depression,cgf
@patrickyocum18,ephraim,drained,sentimentalism,someonegivemeattention,ewok,@lastnamebabyboy,mannnnn,breaktime,swamped
