0,1,2,3,4,5,6,7,8,9
fascinated,@daniellouden,sleeting,unalloyed,fettling,telly,gohome,postman,tabasco,godmother
'cos,shabby,cossie,shaping,euston,kurds,canonlyimagine,leccy,dill,prac
@praisewalker,uplifted,busses,myfamilyisweird,whoooooaaaa,littlesarcasm,rinsed,tonight-_-,delonte,deliverance
riveting,devotion,carefree,ronchy,hosanna,blissful,wedsenday,wtfuffle,@happy_geordie,destrubed
vibrating,24/7,god.â€,piccadilly,bunged,joyness,chevron,breaktime,metrorail,blooming
hannibal,location-.-,@oliviamceachin,nothig,lubbly,squashed,glowing,lamps,@louisck,aprons
pussssssssy,cherie,give-,buscaglia,gregoden,dreamstream,btec,microeconomics,dissecting,healing
obedience,pirate,gushed,fitted,puting,thegoodwife,p.j,shadiness,@pbs,middlesex
chitto,tooday,"1,104",2-page,carolers,forward~,peas,3hrs,yeeeeeey,oranges
divinity,4o,algorithms,grrm,bangbangbangvamanosvamanos,thankyoujesus,rebooked,lasereyebeams,clapham,@lowerbodyinjury
enchanted,~david,yobs,mournful,affect.also,crucify,emailing,barnes,overjoyed,bleaker
whateverdadwantsonhisbirthday,wonderfulthings,jealousofyourdad,ephesians,histology,tabi,@deyna_otter,fambam,allot,lovinglife
"""helps",csmajorproblems,rays,@jrodolfom,whyitsgreaselightening,crackberry,35centwings,@same_ol,exiled,@rfletch43
bookclub,harmed,praises,eloquently,3hr,lighten,sunburns,@beccaramirezzz,clockworkprince,@jesussister
grocerystoressuck,bioscience,teaming,praising,@factorfaked,winter+christmas,rememberthat,excellente,huzzah,shovelled
ovation,walnuts,@diggy_simmons,jazzy,champers,alegria,@nataliemccoy,lowexpectations,optimistic,ofsted
pack-,celebratory,confluence,15am,mumia,unbeaten,sleet,generously,lifechanging,snore
ttc,jv,richard,11am,awwwwwwwwww,vue,digs,@mojohnson23,appriciating,itstooearly
egan,reflects,loveduckhunting:)â€/,sippin,telephones,day-,chore,ppg,stilllll,home-
rejoiced,rumi,@paulkclews,uplift,romp,antiwrinkle,spca,madrigal,goodridence,nannying
mat,themoreyouknow,exercises,worthiness,cabs,appreciative,10.30pm,speeding,thousandth,chickenpox
10hrs,mucking,5a.m,@lifeofgee,tiredness,tutor,matin,superstoked,smokingtime,owhereowhereowhere
holidayseason,godisgood,skyped,bestdayofmylife,philippians,tithe,lifeskills,you've,bourdon,re]discovery
bubblebath,shitloads,queues,@thesondheimer,soudain,every.possible.stop,humped,@mango_tweets,ease,naptime
chapstick,@alliemarlin,olives,commuting,interviewed,fabolous,nght,jubilant,trey,foldable
ilovebabies,toungue,paraplegic,succumb,wonderment,renewed,fireworks,dint,baubles,physiotherapy
ruinedddd,a27,departmentally,@chingjoyce,simplifying,sharting,illustrate,boundless,40mins,comedown
chocolate~,overnight,abcfamily,deaconess,@msmallory2012,lewisham,sunshine.tots,lug,8.30,throbbing
absoulute,everlast,schoooolssssss,thisisgonnabefun,fuckfrench,pasko,@bossmacktopsoil,oneness,organising,satifiscation
@mackenzieguru,onemorereasontohateu,desking,-never,hillbilly,@_iworshiphim,cbs,caseofthemondays,honored,î
decemeber,lounges,queasy,god.-joyce,@lauren__boyce,unltd,murderer,trivia,14-point,._____.
8addys,sage,pawtucket,christmas.(sarcasm,cheech,behappy,-#joy,candlelighting,overflows,flattens
adrenalin,larch,harmonies,tree.division,3packsofcigs,@tylermurray1234,majesty,unproductivity,crippled,@howfenclaret
panto,joy-,courthouse,wkd,paragraphs,microsystem,befortunate,hooping,bitching,teary
pedis,6am-11pm,itchyness,"supported""#peace",break=,aload,60+lbs,6:45a,@rmn_hsn,vivekananda
departs,yippe,mmmmmm,infusion,churchspeaker,so.sick,abounding,toearly,wetness,6.30
resonate,@charlottefoot,mornin,boiling,amped,cusions,unburden,@shergiggles,8am-8pm,modernfamily
occupiers,phenomenal,pradas,a.m,loogie,â€œ@jesus_calling,designing,ilovemylivelyfamily,homework/,lettheangerbegin
boyyy,chitterlings,46,humbled,churchhhh,truejoy,dn't,@lilybriody,carvery,goess
sustain,therapeutics,reneged,unashamed,6-point,9:30am,beenlivinglikeafrenchdwarf,mens,wuthering,congested
relaxing.no,@sayanythingmuz,rewatching,gottowakeupearly,@scent_of_roses,@2pplinme,discombobulatedmindset,reggae,speaklound,dynamo
soaking,pantless,housewifeintraining,housework,anointed,flapjack,scouting,biddies,cokes,sleepytime
poptarts,anddddd,~23hrs,8'o'clock,showin,apologetic,12hrstwitter,recitation,plent,migration
soho,appointments,equalised,365,stumbled,@leethomascook,feelsick,youngsters,gainesville,sunbeams
hymns,hug/,snapple,happyaccidents,@markparkinson80,@abbykincanon,@lov3_harmony,homework!-_-,lemsip,rejoicing
@karrid21,nap-__-,@shannon_mchugh,gush,7/12,accountants,joyofchristmas,interzone,itsu,yaay
rhema,@thebodyshop,illiteracy,transition,attitudinal,@x_sugartits_x,blackfridaymaddness,strumming,snowin,pain!â€
10years,crouded,newsboys,disfigurement,rola,breakie,reread,napping,charitywork,rainboots
@mikecleary2,magnificence,tfb,prepubescent,week-,idolatry,gloriousthanksgivingvacation,junction,tooexcited,sundays
knackered,foxandfriends,@_malc,headache+1.5,@charprn,efo,twinkling,@sirmichaelrocks,irritable,hairy
@callummhall,tonsillitis,revolution,refuel,freeeezing,0800,extolling,titi,mawning,happyyy
