,column1,column2
149,afraid,-0.06619174001198398
1592,scarier,-0.061644836369411295
700,scared,-0.05954428799572606
4029,paura,-0.05892857807697829
3504,takut,-0.05675278172005892
3767,aucun,-0.05642963002158657
3160,blindsided,-0.054813393448773076
1379,warned,-0.05455506986279571
2118,reageren,-0.05177697566029018
1139,unrespectful,-0.050374159561501916
1434,fearing,-0.049645985693585415
507,fear,-0.04930045789119997
1201,verkeerde,-0.04841825573817183
1219,shocking,-0.04821744560379957
1775,deactivated,-0.04818558367756103
3547,hide,-0.0469870819003438
1250,upsetting,-0.046402356405782934
1765,hostage,-0.046199478129000875
3152,regrets,-0.046117800165625014
2156,eww,-0.0460810456321433
974,accidentally,-0.04567902691256871
3019,unsecured,-0.04559163726451409
762,warning,-0.045453991073881914
916,elopement,-0.045252288622842134
2258,disgusted,-0.044925049844907076
1907,react,-0.04437570895762716
2071,angry,-0.04402142877614325
216,mistrust,-0.04286987874459774
1408,camiseta,-0.04267957357059637
2632,provoked,-0.04199287179293785
3548,unsafe,-0.04198379709911696
1721,aggressive,-0.041809255060785123
1335,idee,-0.04153568547576315
780,hater,-0.0413452943408274
2014,rabid,-0.04081893092206914
3368,ewwwwww,-0.04072264339534011
840,wordt,-0.0406047388424118
2550,fans,-0.040008314243943244
339,surprise,-0.03998349499895875
1251,fan,-0.03995868461640819
2612,phobia,-0.039509834907229376
1341,leeg,-0.039394645923433814
2162,anger,-0.039344244343870086
1564,groen,-0.03925457327138537
1444,cougar,-0.03919951192867897
1130,zien,-0.039064854492799776
2756,paranoid,-0.03888272056277122
2514,nederland,-0.03871202715356237
3001,taboos,-0.03863553970526702
2723,frat,-0.03850073835310885
3355,rejected,-0.03846005692086918
1081,ricki,-0.038406459333445137
1140,cody,-0.038393486671057554
1095,rioters,-0.03839310152513031
3564,trash,-0.0381769316380876
1079,scary,-0.03786200801959271
3078,canceled,-0.03779342840512862
724,unaware,-0.03772073423585688
1007,contre,-0.037574571356508976
2755,censoring,-0.03738974429671486
2499,unlived,-0.03729770089224704
1681,hated,-0.03724946028600958
1810,ugly,-0.03722636449896704
1553,alcatraz,-0.037122008078412684
3470,dislike,-0.03711096652311146
2257,disgusting,-0.03710441929000639
3997,tattoo,-0.03695565168458793
3754,smfh,-0.03674382434678336
2191,destroys,-0.03656293561889481
2977,delete,-0.03652928444874035
2713,tasteless,-0.0363330900049921
3351,hurt,-0.03618457421966896
3851,hershel,-0.03585906970258674
2421,nooit,-0.03576114792578999
2423,geval,-0.03574219382071552
2373,police,-0.035693547108265375
2159,threw,-0.035676763526537945
1025,damaging,-0.035513528587367206
3074,risking,-0.03548336653474582
2832,gf,-0.03543453854339769
2511,rebel,-0.035389704814160365
3106,wtf,-0.03527651755019088
3223,bummed,-0.034910477049315984
2415,happend,-0.03484684920371772
398,confused,-0.0344906056929183
3372,indians,-0.03441127914538377
2127,fake,-0.03431665440755242
1706,weapon,-0.03426963986069927
422,losing,-0.03416754889807198
3162,boyfriend,-0.034074958521207406
835,dont,-0.03397614622230811
2851,bully,-0.03391424664892726
3079,hates,-0.03387538848694907
2547,radar,-0.03387060780939097
3244,haunts,-0.03380541006847466
1385,prohibits,-0.03374832997058892
1027,prevent,-0.033677402623447865
395,killed,-0.0335314618176789
2609,phobias,-0.033480320662423485
590,wla,-0.03342279285692078
3443,dreads,-0.03329093860197031
3390,dit,-0.03321449369583821
3960,bangs,-0.03312392196803791
1284,fail,-0.03308301707993393
2338,offensive,-0.03306956972377602
3333,snakes,-0.032951041969027074
3030,pissed,-0.032924265944331
1672,screamed,-0.03281512950485375
3982,moeten,-0.03275239394839614
2417,prohibit,-0.03271328284175014
625,apologize,-0.03270619535300123
1896,nor,-0.032691327069370245
451,o.o,-0.03251424826817177
3715,slecht,-0.03239298231872367
2385,anymore,-0.03231451144325665
1830,douches,-0.032313826640521286
3446,failure,-0.03223835675281814
949,surprised,-0.03219574328674704
1236,saw,-0.03215418776566247
2426,niet,-0.03195250537211507
3648,gross,-0.031870715338399885
3880,houden,-0.031857763217871746
2847,idk,-0.0318079133503415
1198,erachter,-0.03170528311397943
3722,ganna,-0.031704136533993565
276,stashed,-0.03154923273327191
1527,sadly,-0.031520348680421285
3376,eindelijk,-0.03137242695371146
2377,barricade,-0.03129201279779996
3618,croatia,-0.031284101198546674
2457,cancelled,-0.031250048384123395
394,smh,-0.031149717121505015
2262,jacksonville,-0.03112098400671048
3819,leaks,-0.03111229606806345
199,abuse,-0.0310693651372176
635,denial,-0.031010470098692913
209,stupid,-0.030970182716424877
3120,shame,-0.030775390617218235
1653,detrimental,-0.030767161470031508
3621,zagreb,-0.03069445415265438
31,die,-0.03067983261260043
3432,patriots,-0.03066630065798814
368,fails,-0.030652237964756582
3295,hijack,-0.03048235008280007
2610,phobophobia,-0.030464075560246842
3796,poser,-0.030359025309348055
1336,hoofd,-0.030340174150378457
2266,justin,-0.030292116705072304
1766,thuglife,-0.030274829535607277
2794,britney,-0.030039421648324332
982,punished,-0.029992622850586806
2574,shirt,-0.0298367334478821
1131,niets,-0.029750961078797857
1134,broek,-0.02974854698336421
3964,camara,-0.029735092774864615
1181,quand,-0.029533719752692034
895,eigenlijk,-0.029510360390930027
3766,connais,-0.02947796417405223
2753,military,-0.02945191722817231
2149,neither,-0.02943609882867247
578,laatst,-0.029403450393984266
2985,ttk,-0.029331652945372752
2371,nydailynews,-0.02931411383380607
3257,gaan,-0.02924435305013297
2269,pose,-0.02912450190253484
1232,annonce,-0.029120804896651257
1558,attack,-0.029115496185979996
1282,omg,-0.02904779635620564
2565,doesnt,-0.028919552705776716
1442,jajaja,-0.028912650177656297
1650,roommates,-0.028876971359879947
3361,enemies,-0.028832588386655887
2271,freak,-0.02881840834194563
976,penis,-0.028765119654437933
3056,shhhhhh,-0.02856168842676612
2941,wooow,-0.028468498261825837
2400,knew,-0.028461090678117345
2168,kill,-0.02842572515770046
344,helemaal,-0.02840771295713393
1287,showed,-0.028297261960559428
1330,laat,-0.028291774293660008
3705,realized,-0.02817248367749632
479,rage,-0.028134649691702384
2525,smdh,-0.02812377919830824
1771,discontinued,-0.028085872205969645
3038,medo,-0.02807124227949179
3480,michigan,-0.028041020472309046
1097,actions,-0.028033934721505165
1840,maar,-0.02802935459239117
3646,foreveralone,-0.02778635252863456
1824,rhoa,-0.02772567076511952
2769,player,-0.0276690250721632
2958,volgens,-0.02761594922399464
2614,plak,-0.02758758056510088
2305,affect,-0.027547458650832576
3301,speechless,-0.027503890031722485
3373,laatste,-0.02743970489017591
2886,allergic,-0.02741284822520531
3080,surprises,-0.02736090293788252
1680,jerks,-0.02734313336456445
2115,benieuwd,-0.02728723130317955
1730,forgot,-0.027226104571647317
1601,hype,-0.027142536095397296
1978,akon,-0.027119576567844784
1746,landen,-0.02711610284303094
1084,lose,-0.027090210727384528
2383,bootleg,-0.027062663748045092
2903,ppl,-0.027048961157107823
1878,reveal,-0.027025953153481812
3546,behavior,-0.026954506476266918
1419,watched,-0.026887231880433873
1556,deathly,-0.026855497987149583
1120,missing,-0.02682995896718922
3915,idc,-0.026711091073652316
2616,kunnen,-0.026630716567635743
940,impressionnant,-0.02661925977757562
2973,reneged,-0.026587873641578254
2158,oreos,-0.0265715526440562
116,opposed,-0.02650445935862275
3699,b.c,-0.026496124380579727
1784,bekend,-0.02634261993767855
1253,sad,-0.026328579784478112
2696,vs,-0.026324045943254538
667,rapist,-0.026297067744173543
1666,stalking,-0.02620387876737461
3175,riots,-0.026163352967952348
2181,tweets,-0.026110712055711013
2745,felder,-0.025988373166276665
391,sorry,-0.025969352551915237
2830,madden,-0.025939194456552014
2615,oftewel,-0.02585406844432722
138,cheatin,-0.02582108916622264
284,dems,-0.025771526414713777
2079,swtor,-0.025760896374546417
1694,iemand,-0.025755871612452255
3723,faced,-0.025742350080327738
1271,omar,-0.025699430579478825
1562,roze,-0.025654551227287676
1716,expensive,-0.025593132243049262
46,hate,-0.025563270925530533
106,-.-,-0.02550363926013875
1693,moet,-0.025500090106149103
1492,daarin,-0.025499995016726024
3637,antoine,-0.025472390946411887
627,annoyed,-0.025453359982321767
2802,panties,-0.025408763630831204
660,public,-0.02538246710847551
1620,sneak,-0.025365145238736668
3680,bereikt,-0.025361342077165724
4030,rimanere,-0.025328016900901962
2714,jacob,-0.02527441377487296
3171,destructive,-0.025261703515478413
3176,succumbed,-0.025244713801364584
1067,lover,-0.0252424897341393
2960,gaat,-0.025212902724970662
3335,centipedes,-0.025041700713455118
1127,eens,-0.0250003093061802
3281,wayy,-0.024977257985090037
532,postponed,-0.024959682954590643
3227,ppls,-0.024954991625759596
1339,alleen,-0.0249266393267065
2298,ontvanger,-0.024913242055128702
1202,volgorde,-0.024862192850240553
1221,lingerie,-0.024845970711488242
367,never,-0.024844130601785024
3250,npc,-0.024838834488803
3239,breakups,-0.024797122333272067
1504,gekomen,-0.024793369316087752
3383,dies,-0.024716356459028064
1449,noticed,-0.024682040297016403
1902,erase,-0.02447895293099473
2611,mortified,-0.0244420501996221
1423,ripped,-0.024432132476323875
1791,vanavond,-0.024383957074090443
2003,biggest,-0.024362596425575266
3140,milwaukee,-0.024359595867169265
1964,posted,-0.02426903049981585
