,column1,column2
1743,blindsided,-0.002715465652452084
1067,scared,-0.002582048079154897
1189,eww,-0.002512832388606702
585,broek,-0.002501127055732442
590,unrespectful,-0.0023974772401125235
405,hater,-0.0023405169247754346
742,cougar,-0.0022393705180183245
1536,ugly,-0.002129151122476684
1065,react,-0.0021266850086147904
620,shocking,-0.0020489422529362733
192,confused,-0.0020048525796488043
1556,idk,-0.0019842345551317085
1674,pissed,-0.0019621797657906363
941,stupid,-0.001935869426035249
543,fear,-0.0019192861613586524
2026,angry,-0.0018920604286093896
1853,rizzo,-0.0018764505633074046
966,hostage,-0.0018438995094457048
2074,leaks,-0.0018094458208923081
581,zien,-0.001793812983898173
615,wrong,-0.0017885164609354087
902,hated,-0.0017675757167195064
859,stfu,-0.0017674330491250123
62,cheatin,-0.001760192963543183
1465,tasteless,-0.0017585876214854957
967,thuglife,-0.0017528004413082555
1338,happend,-0.0017334615712375533
1417,fans,-0.0016971913200249649
1489,felder,-0.001693125760795672
1171,o.o,-0.0016833127315796078
61,nigga,-0.0016589032218590808
1343,maar,-0.0016475129274991615
828,groen,-0.0016427389711822092
856,idiot,-0.0016288248846572037
582,niets,-0.0016223310163828778
1340,nooit,-0.0016122466215509634
939,ew,-0.0016043963946451385
1590,allergic,-0.0015888941455748846
830,zie,-0.001587919355762384
739,jajaja,-0.0015808872763228559
1512,f-bomb,-0.0015791368701698451
681,guy,-0.0015786232958707755
1665,unsecured,-0.0015648893465595897
1342,geval,-0.0015640496873418777
1983,hate,-0.0015585777868226687
901,jerks,-0.0015574213018274118
577,eens,-0.0015376301385638643
1020,scumbag,-0.001506459576729015
1837,fail,-0.001502437462099195
1729,milwaukee,-0.0014965728053434166
1349,niet,-0.0014858462271243674
440,leaking,-0.0014744591529784318
1414,radar,-0.0014576425375262027
1191,tweeted,-0.001441204055933341
1878,grote,-0.0014359468852867244
1090,dont,-0.0014280700915270028
574,die,-0.0014191204860645038
1707,crashed,-0.0014184926171433908
1540,johan,-0.0014137422069021106
1196,threw,-0.0014116936299917416
621,saw,-0.0014018190837530684
1794,ppls,-0.001399938581295585
312,annoyed,-0.0013979164291465693
1877,moet,-0.0013958186216729144
1960,zagreb,-0.0013923729714475652
1639,kill,-0.0013913754675747752
56,wat,-0.0013897425052700882
962,rob,-0.0013888744212980648
1056,nor,-0.0013795453103476712
1619,wooow,-0.0013765979241192488
698,schmidt,-0.0013742110081857702
1719,guessing,-0.0013707740079861338
825,roze,-0.0013658232774425075
71,awkward,-0.0013627188641672232
494,surprised,-0.001355667666088358
1415,annoying,-0.0013535798953006077
2027,lose,-0.001344780453462892
1646,restr,-0.0013429283048023977
809,sadly,-0.0013408948154623476
190,sorry,-0.0013392423059670876
1201,aeropostale,-0.00133831294241961
1108,asians,-0.00133795955025042
877,sucks,-0.0013309104085088563
719,ripped,-0.0013276503157414088
1634,dat,-0.0013253808121182404
802,joke,-0.0013240173825543352
1204,tweets,-0.0013172897931088428
2138,likely,-0.0013161386413503928
1879,wie,-0.0013153351367911044
748,spider,-0.001312649758606302
392,tweet,-0.0013037559944604309
2184,bangs,-0.0012975206209954989
269,fool,-0.001292890308560591
1709,canceled,-0.0012919803190452586
1875,deze,-0.0012889452788193956
1549,madden,-0.001279203452857287
723,tampa,-0.0012760370293198834
824,voor,-0.0012748686752232848
1772,worst,-0.001269927337274697
1464,oreo,-0.0012694128378603969
854,hype,-0.0012690531508366188
1462,fml,-0.0012683236126692825
400,gay,-0.0012683112555687136
1647,reneged,-0.0012643744568567176
1565,toms,-0.0012490137576825137
959,steal,-0.001245366712563919
1888,surprise,-0.0012452652026626373
1957,croatia,-0.0012439272915930385
100,why,-0.0012388989901934596
2179,nobody,-0.0012381846508003704
650,screwed,-0.0012380896621755186
1865,dies,-0.0012355908470106647
953,cuz,-0.001234171609002055
1257,jacksonville,-0.0012319914152471958
1876,politica,-0.0012312510384491807
