,column1,column2
1389,reageren,-0.03179620484037908
1047,scarier,-0.03161409123103733
1109,iemand,-0.029917230670673353
1963,idk,-0.02816045686053947
2628,smfh,-0.027774168966468598
2124,wtf,-0.027112818969452713
98,afraid,-0.026509767107607836
1205,douches,-0.026475703321286227
2537,shaq,-0.02604003101238177
269,smh,-0.026030622456046384
2004,volgens,-0.0259680227836765
583,eigenlijk,-0.02554090095874003
2617,eww,-0.025386248057350666
541,wordt,-0.025181177070929192
1686,smdh,-0.024900019016730633
1913,niggas,-0.02460492665093964
2434,takut,-0.02460176709117706
460,scared,-0.02454373634476448
2672,hershel,-0.02401775122117206
922,leeg,-0.02383998947178498
1446,stfu,-0.023593498224158807
2640,aucun,-0.023435573763219805
657,accidentally,-0.02341645567430944
2564,bereikt,-0.02338574056532902
1569,nydailynews,-0.023318258132985492
433,rapist,-0.023012428590633304
2765,nigga,-0.02278723598918658
453,dnt,-0.02264528830976908
688,contre,-0.022584650120055887
207,dems,-0.022177834492883342
2314,ewwwwww,-0.021958569695338197
1943,bully,-0.02179570756519614
1173,bekend,-0.02133135641639581
384,wat,-0.021312921542353553
1198,rhoa,-0.021246420578129872
2590,slecht,-0.021236042121735153
2794,paura,-0.02114616226475755
2006,gaat,-0.021112812707189448
1768,provoked,-0.021111239004856563
1303,rabid,-0.021064069025195965
1879,paranoid,-0.021056066511024412
986,daarin,-0.020998782713145772
817,verkeerde,-0.020992708600029518
1162,straightup,-0.020896131042356634
535,dont,-0.0208749053817455
814,erachter,-0.02077858315043866
1269,some1,-0.02063733132684174
2533,juwan,-0.02051118196480748
144,stupid,-0.020442180694294633
2730,olvido,-0.020425345043478316
2330,dit,-0.02038207210612598
2135,nah,-0.020340458149465206
1972,ppl,-0.02026264293015116
2244,hijack,-0.0201159231002078
1214,maar,-0.020099500306860262
945,warned,-0.020094959997342905
2287,juss,-0.020014764386623314
1496,disgusting,-0.019912606602658065
386,ik,-0.019808881146535687
2396,dislike,-0.019745506598549803
626,sais,-0.0197270016831647
2626,uwp,-0.01961878593047405
2020,delete,-0.019582141288052815
148,mistrust,-0.019382169847744487
2,hulp,-0.019267156907546632
