,Word,Value,V.Mean.Sum,,1.2 4.6 3.0
1,torture,-1.81E-05,1.4,,
164,murder,-8.62E-06,1.48,,
346,racism,-6.74E-06,1.48,,
366,homicide,-6.67E-06,1.5,,
248,abuse,-7.51E-06,1.53,,1 sent 2.5
2420,rape,-2.49E-06,1.54,,
235,suicide,-7.63E-06,1.58,,
1362,terrorism,-3.77E-06,1.6,,
907,wreck,-4.59E-06,1.62,,
295,die,-7.13E-06,1.67,,
1012,disease,-4.37E-06,1.68,,1 sent 2.2
212,virus,-7.88E-06,1.71,,
946,disaster,-4.52E-06,1.71,,
766,starvation,-4.95E-06,1.72,,
294,killer,-7.14E-06,1.74,,
138,massacre,-8.87E-06,1.77,,
522,nightmare,-5.80E-06,1.79,,
5032,stress,1.35E-06,1.79,,
184,kill,-8.44E-06,1.81,,1 sent 2.1
4557,assassination,4.86E-08,1.83,,1 sent 2
379,unhappy,-6.58E-06,1.84,,
234,coma,-7.63E-06,1.89,,
634,death,-5.38E-06,1.89,,1 sent 2
377,deadly,-6.59E-06,1.9,,
3406,cancer,-1.53E-06,1.9,,
417,jail,-6.29E-06,1.91,,
936,harm,-4.54E-06,1.91,,
1799,prison,-3.17E-06,1.94,,
466,killing,-6.08E-06,1.95,,
915,crime,-4.57E-06,1.95,,
1258,illness,-3.92E-06,1.95,,
3359,bury,-1.57E-06,1.95,,
4385,debt,-2.55E-07,1.95,,
83,hate,-9.91E-06,1.96,,
16,slavery,-1.32E-05,2,,
304,pain,-7.01E-06,2,,
312,attack,-6.97E-06,2,,
441,poverty,-6.19E-06,2,,
914,pollution,-4.57E-06,2,,
4143,fatal,-6.49E-07,2,,
4376,infection,-2.69E-07,2,,
434,dead,-6.21E-06,2.02,,
45,rude,-1.13E-05,2.04,,1 sent 2.8
20,kidnapping,-1.30E-05,2.05,,1 sent 2.1
34,assault,-1.17E-05,2.05,,1 sent 2.5
95,suffer,-9.62E-06,2.05,,
191,tumor,-8.20E-06,2.05,,
264,crisis,-7.32E-06,2.05,,
402,victim,-6.46E-06,2.05,,41 sent mean 3.1
751,catastrophic,-5.00E-06,2.05,,
771,abusive,-4.94E-06,2.05,,1 2.5
938,racist,-4.53E-06,2.05,,
1010,epidemic,-4.37E-06,2.05,,
1071,fraud,-4.25E-06,2.05,,1 2.43
288,slave,-7.17E-06,2.06,,
3042,funeral,-1.90E-06,2.07,,1 2.3
126,devastating,-9.05E-06,2.09,,
106,sad,-9.47E-06,2.1,,
373,bombing,-6.65E-06,2.1,,
871,terrible,-4.68E-06,2.1,,
967,worry,-4.46E-06,2.1,,
2673,rob,-2.25E-06,2.1,,
60,tragedy,-1.07E-05,2.11,,
2529,criminal,-2.38E-06,2.11,,
1182,failure,-4.06E-06,2.15,,
94,neglect,-9.63E-06,2.16,,
1336,poison,-3.80E-06,2.16,,
2820,steal,-2.10E-06,2.17,,4 2.1
32,sue,-1.17E-05,2.18,,
1757,traffic,-3.23E-06,2.18,,
99,kidnap,-9.52E-06,2.19,,
894,breakup,-4.60E-06,2.19,,
435,misery,-6.21E-06,2.2,,
3873,hopeless,-1.02E-06,2.2,,1 2.14
35,homeless,-1.16E-05,2.21,,
69,interrogation,-1.04E-05,2.21,,1 2.4
478,vile,-6.00E-06,2.21,,1 3
1194,bankrupt,-4.04E-06,2.21,,
240,headache,-7.58E-06,2.22,,
1631,enemy,-3.38E-06,2.22,,
1416,war,-3.68E-06,2.23,,1 2.75
451,betrayal,-6.15E-06,2.24,,2 2.55
891,lifeless,-4.61E-06,2.24,,
375,afraid,-6.62E-06,2.25,,
474,violent,-6.03E-06,2.26,,1 2.6
1131,arson,-4.15E-06,2.26,,
1152,poisoning,-4.11E-06,2.27,,2 2.55
2829,depressed,-2.10E-06,2.27,,1 2.62
24,awful,-1.26E-05,2.28,,1 2.9
112,widow,-9.26E-06,2.28,,
453,convict,-6.14E-06,2.28,,1 2.5
745,execution,-5.02E-06,2.28,,
14,guilt,-1.32E-05,2.29,,
350,violation,-6.73E-06,2.29,,
420,sick,-6.29E-06,2.29,,
5134,harmful,1.81E-06,2.29,,
438,unemployment,-6.20E-06,2.32,,2 2.55
678,thief,-5.24E-06,2.32,,
1243,injury,-3.95E-06,2.32,,
2889,ruin,-2.05E-06,2.32,,
4128,ransom,-6.65E-07,2.32,,
125,slaughter,-9.07E-06,2.33,,
328,dangerous,-6.88E-06,2.33,,
358,fail,-6.70E-06,2.33,,
372,hepatitis,-6.65E-06,2.33,,
777,grief,-4.93E-06,2.33,,
851,tsunami,-4.72E-06,2.33,,
924,unsuccessful,-4.55E-06,2.33,,
960,horrible,-4.49E-06,2.33,,
982,arrest,-4.43E-06,2.33,,
1942,sewage,-3.01E-06,2.33,,
274,evil,-7.28E-06,2.34,,
666,malaria,-5.27E-06,2.34,,
68,toxic,-1.05E-05,2.35,,
192,hostile,-8.20E-06,2.35,,
322,terrorist,-6.93E-06,2.35,,
629,stink,-5.40E-06,2.35,,
968,cruelty,-4.46E-06,2.37,,
219,jealous,-7.77E-06,2.38,,
262,hatred,-7.32E-06,2.38,,
446,anxiety,-6.16E-06,2.38,,
648,suspect,-5.34E-06,2.39,,
778,lie,-4.93E-06,2.39,,
52,decay,-1.11E-05,2.4,,
772,grave,-4.94E-06,2.4,,
1913,rejected,-3.04E-06,2.4,,
71,grim,-1.03E-05,2.41,,
513,liar,-5.85E-06,2.41,,
3065,plague,-1.88E-06,2.42,,
5401,coward,4.59E-06,2.42,,
79,impoverished,-1.00E-05,2.43,,
773,jerk,-4.94E-06,2.43,,
1872,mean,-3.09E-06,2.43,,
331,dumb,-6.86E-06,2.44,,
864,depression,-4.68E-06,2.44,,
4379,nemesis,-2.67E-07,2.44,,
17,corpse,-1.31E-05,2.45,,
77,frustration,-1.02E-05,2.45,,
108,discrimination,-9.44E-06,2.45,,
110,upset,-9.39E-06,2.45,,
310,hurt,-6.97E-06,2.45,,
2405,invasion,-2.52E-06,2.45,,
4796,frightened,5.66E-07,2.45,,
159,agony,-8.69E-06,2.46,,
320,ugly,-6.94E-06,2.47,,
430,outbreak,-6.22E-06,2.47,,
568,mad,-5.64E-06,2.47,,
1679,bomb,-3.33E-06,2.47,,
27,greed,-1.22E-05,2.48,,
744,lethal,-5.02E-06,2.48,,
59,divorce,-1.07E-05,2.49,,
1803,alcoholic,-3.16E-06,2.49,,
577,anger,-5.61E-06,2.5,,
1922,rage,-3.03E-06,2.5,,
194,arrogant,-8.16E-06,2.52,,
225,thug,-7.69E-06,2.52,,
1104,negative,-4.19E-06,2.52,,
1213,poisonous,-4.00E-06,2.52,,
1584,dispute,-3.45E-06,2.52,,
2383,bankruptcy,-2.54E-06,2.52,,
2619,expulsion,-2.30E-06,2.52,,
3395,ashamed,-1.54E-06,2.52,,
827,illegal,-4.77E-06,2.53,,
950,destruction,-4.51E-06,2.53,,
1350,lost,-3.78E-06,2.53,,
105,hell,-9.48E-06,2.55,,
157,frustrated,-8.72E-06,2.55,,
332,arrogance,-6.83E-06,2.55,,
337,trafficking,-6.79E-06,2.55,,
1639,sting,-3.38E-06,2.55,,
2157,insane,-2.77E-06,2.55,,
3817,accident,-1.07E-06,2.55,,
4622,orphaned,1.79E-07,2.55,,
5034,monster,1.36E-06,2.55,,
511,panic,-5.85E-06,2.56,,
1072,difficulty,-4.24E-06,2.57,,
1742,inadequate,-3.25E-06,2.57,,
41,frightening,-1.15E-05,2.58,,
91,painful,-9.68E-06,2.58,,
196,jealousy,-8.10E-06,2.58,,
429,problematic,-6.23E-06,2.58,,
750,flu,-5.00E-06,2.58,,
4202,abortion,-5.58E-07,2.58,,
606,blackmail,-5.48E-06,2.59,,
4413,defeated,-2.02E-07,2.59,,
6,dreadful,-1.50E-05,2.6,,
133,threaten,-8.91E-06,2.6,,
300,miserable,-7.06E-06,2.6,,
449,paranoia,-6.15E-06,2.6,,
1800,theft,-3.17E-06,2.6,,
2856,rejection,-2.08E-06,2.6,,
897,waste,-4.60E-06,2.61,,
