,Word,Bert,Distilbert
0,impatient,-0.00074378,-2.96E-05
1,swinging,-0.000743625,-1.85E-05
2,abandon,-0.00068173,1.12E-05
3,hometown,-0.000608502,-9.05E-05
4,requests,-0.000554302,-6.97E-06
5,destined,-0.000533503,4.98E-06
6,coverage,-0.000524712,-1.01E-05
7,vengeance,-0.000509379,-5.34E-05
8,microwave,-0.000447365,-1.74E-05
9,breaths,-0.000439085,-1.52E-05
10,medication,-0.000436924,5.32E-05
11,infected,-0.000429183,3.76E-05
12,luckily,-0.00042734,-4.52E-05
13,pursue,-0.000421219,9.59E-06
14,numbers,-0.000413044,-3.06E-06
15,minor,-0.000404139,-4.14E-05
16,spilled,-0.000402106,-2.95E-05
17,finest,-0.000395456,-4.22E-05
18,slower,-0.000390876,-4.56E-05
19,arrives,-0.000386087,-2.25E-05
20,dilemma,-0.000375911,5.56E-05
21,56,-0.000375838,-1.00E-05
22,whites,-0.000354361,-1.79E-05
23,grades,-0.000351448,-3.19E-06
24,sirens,-0.000351437,-3.53E-05
25,presenting,-0.00034819,-1.12E-05
26,coincidence,-0.000345186,1.32E-05
27,convince,-0.000344495,-1.67E-05
28,jury,-0.000344346,1.35E-05
29,grading,-0.000343064,-9.38E-06
30,drowning,-0.00033904,-3.65E-06
31,realistic,-0.000334161,-4.04E-06
32,weekends,-0.000333969,-3.37E-05
33,collect,-0.000333684,-3.35E-05
34,exposed,-0.000332891,5.60E-06
35,announces,-0.000328434,-3.23E-05
36,bitten,-0.000327805,2.94E-05
37,professors,-0.000325462,-1.64E-05
38,fires,-0.000320812,-3.68E-05
39,themed,-0.000320743,-9.17E-06
40,torture,-0.000319819,2.35E-05
41,helpless,-0.00031583,-2.27E-05
42,bracelet,-0.000313848,-4.01E-05
43,terribly,-0.000313544,-3.26E-05
44,csi,-0.000311567,-7.86E-05
45,clicked,-0.000311168,3.84E-06
46,effective,-0.000308426,-4.94E-05
47,misses,-0.000307123,-9.35E-06
48,footsteps,-0.000307031,-1.46E-05
49,brief,-0.000304691,-1.83E-05
50,15th,-0.000303546,-3.42E-05
51,qualify,-0.000302275,3.76E-05
52,towns,-0.000297792,-3.78E-05
53,pregnancy,-0.000297311,-6.05E-06
54,apparent,-0.000295468,-3.97E-05
55,owns,-0.000294914,4.34E-06
56,buried,-0.000294556,-3.79E-05
57,brake,-0.000289112,-2.98E-05
58,flashbacks,-0.000285549,1.64E-05
59,needing,-0.000284683,3.19E-05
60,traumatic,-0.000282292,4.32E-05
61,resting,-0.00028143,-9.73E-06
62,cans,-0.000279579,-4.01E-05
63,outfits,-0.00027687,-1.27E-05
64,sixth,-0.0002766,7.41E-05
65,schools,-0.000274636,-2.99E-05
66,paso,-0.000273431,-2.66E-05
67,arrival,-0.000272004,-2.46E-05
68,130,-0.000270958,-1.38E-05
69,responsibility,-0.000270686,-5.15E-06
70,assist,-0.000269962,-5.56E-05
71,reserved,-0.00026965,-2.16E-06
72,halfway,-0.000268168,-1.20E-05
73,grinding,-0.000268055,-2.41E-05
74,winding,-0.000263902,4.26E-05
75,ordinary,-0.000263426,-3.07E-05
76,liquor,-0.000263207,-2.53E-06
77,backs,-0.000261728,2.06E-05
78,fingers,-0.000260894,1.20E-06
79,stitch,-0.000260494,1.80E-05
80,hats,-0.000258126,-2.67E-05
81,iran,-0.000256983,-3.45E-05
82,chronic,-0.0002568,-8.92E-06
83,audio,-0.000256646,-1.43E-05
84,garlic,-0.000255825,4.20E-05
85,groceries,-0.000254461,1.83E-05
86,bleeding,-0.000254218,3.28E-05
87,weighing,-0.000253706,-6.92E-05
88,injuries,-0.000253286,3.48E-05
89,april,-0.000252534,-2.96E-05
90,absent,-0.00024785,-2.95E-05
91,37,-0.000247707,-4.30E-05
92,glue,-0.000246061,-6.28E-05
93,nursing,-0.000244843,-3.18E-05
94,cowboys,-0.000244386,-1.89E-05
95,swallow,-0.000244055,-2.16E-05
96,multi,-0.000242972,-1.35E-05
97,immediately,-0.000242636,-8.74E-06
98,earthquake,-0.000241668,-1.21E-05
99,67,-0.000241585,-1.40E-05
100,consuming,-0.00024148,-4.92E-05
101,stations,-0.000238347,-3.35E-05
102,hurricanes,-0.000238121,-3.62E-05
103,nanny,-0.000237883,-1.54E-05
104,repeated,-0.000237767,-5.64E-05
105,dawned,-0.000235053,-3.72E-05
106,appointments,-0.000233934,-1.76E-05
107,lanes,-0.000232458,-2.08E-05
108,cells,-0.000229747,4.90E-05
109,grabbed,-0.000229147,-2.93E-05
110,rear,-0.000228659,-1.43E-05
111,24th,-0.000226805,-3.77E-05
112,62,-0.000226371,-1.82E-05
113,prom,-0.000225931,-1.20E-05
114,denver,-0.000225087,2.44E-05
115,dallas,-0.000222071,-2.42E-05
116,remembering,-0.000222054,-5.18E-07
117,skirt,-0.000222036,-2.85E-05
118,discuss,-0.00022128,-7.13E-06
119,embarrassing,-0.000221251,-1.55E-05
120,messy,-0.000221,-2.22E-05
121,stuffing,-0.000220299,-1.67E-05
122,mexico,-0.000219674,-4.32E-05
123,dresser,-0.000218817,-9.15E-06
124,59,-0.000218281,3.18E-05
125,department,-0.000217348,-2.39E-05
126,audition,-0.000215709,-1.92E-05
127,17th,-0.000215278,-3.39E-05
128,visitors,-0.000214736,-5.30E-05
129,insists,-0.000214708,3.76E-07
130,regrets,-0.000214422,6.25E-06
131,realised,-0.000213177,-2.14E-05
132,fog,-0.000212074,-2.06E-05
133,roger,-0.000209358,-1.81E-05
134,alternative,-0.000207359,4.18E-06
135,storage,-0.000206476,-3.92E-05
136,paris,-0.000206348,-2.78E-05
137,slid,-0.000205897,1.22E-05
138,pep,-0.000203477,-3.22E-05
139,cope,-0.000202804,1.40E-05
140,robbie,-0.000202656,-3.07E-05
141,uncomfortable,-0.000202333,-4.97E-06
142,helpful,-0.00020191,-1.94E-05
143,upside,-0.000200935,3.14E-05
144,virginia,-0.000200564,-6.26E-06
145,recovering,-0.000200384,6.42E-05
146,crowds,-0.000199358,3.69E-05
147,alabama,-0.000199158,3.00E-05
148,effects,-0.000198984,-9.19E-06
149,peacefully,-0.000198983,2.76E-05
150,luggage,-0.000198703,-2.89E-05
151,partially,-0.000198036,-2.57E-05
152,usc,-0.000196574,-3.55E-05
153,ends,-0.000195652,-1.11E-05
154,stores,-0.000194418,-1.21E-05
155,oil,-0.000194414,3.37E-07
156,disappears,-0.000194318,-1.19E-05
157,generally,-0.000193976,-2.70E-05
158,transcript,-0.00019396,-1.82E-05
159,courses,-0.000193543,-1.53E-05
160,paperwork,-0.000193155,-3.64E-05
161,engaged,-0.000192935,1.86E-05
162,reckon,-0.000192886,9.22E-06
163,dropped,-0.000192799,-2.69E-05
164,forecast,-0.000192778,3.96E-05
165,unless,-0.000192645,5.93E-06
166,giant,-0.000191895,1.13E-05
167,overtime,-0.000190671,-1.66E-05
168,screams,-0.000190667,-3.31E-05
169,remotely,-0.000189298,-1.22E-05
170,shoved,-0.000188955,-4.08E-05
171,citizen,-0.000188913,-5.31E-06
172,disturbed,-0.000188533,-5.81E-05
173,boarding,-0.000186256,4.22E-05
174,asthma,-0.000186223,5.27E-06
175,finance,-0.000186193,2.08E-05
176,universities,-0.000185819,4.29E-05
177,approx,-0.000184981,-1.80E-05
178,likely,-0.000184537,-3.83E-05
179,cups,-0.000182916,-3.39E-05
180,delivery,-0.000182613,5.63E-06
181,shipped,-0.000181813,-1.06E-05
182,lizard,-0.000180182,-5.93E-05
183,northern,-0.00018012,-2.17E-05
184,flu,-0.000179042,-2.88E-06
185,classes,-0.000178957,-1.64E-05
186,participating,-0.000178735,-2.69E-05
187,envy,-0.000178718,-2.93E-06
188,pause,-0.00017794,-1.93E-06
189,healed,-0.000177367,-6.58E-05
190,graduation,-0.000176649,-1.54E-05
191,michigan,-0.000176028,-3.14E-05
192,refreshing,-0.000175483,-3.60E-05
193,buzz,-0.000174874,-2.23E-05
194,houses,-0.000174729,-1.40E-05
195,june,-0.00017468,-2.85E-05
196,declared,-0.000174636,-2.89E-05
197,relieved,-0.000174182,-2.10E-05
198,san,-0.000173754,-2.82E-05
199,production,-0.000173724,-3.38E-05
200,tablets,-0.000173587,-4.73E-05
201,locate,-0.000173312,-3.94E-05
202,interior,-0.000173195,-5.31E-06
203,targeting,-0.000172762,2.48E-05
204,finishes,-0.000172593,-8.55E-05
205,financial,-0.000172328,-2.05E-05
206,loneliness,-0.000172302,2.23E-05
207,completed,-0.000171973,-7.36E-06
208,marked,-0.000171712,2.99E-05
209,exams,-0.000171482,-1.21E-05
210,third,-0.000170958,-1.31E-05
211,slightly,-0.000170922,-2.51E-05
212,emotionally,-0.000170705,6.80E-06
213,drones,-0.000170593,-4.65E-06
214,reckless,-0.000170563,4.76E-06
215,alaska,-0.000170433,-3.46E-05
216,hermit,-0.00017033,-2.41E-05
217,october,-0.000169512,-5.63E-05
218,fringe,-0.00016944,-2.51E-05
219,cnn,-0.000168545,-9.28E-06
220,forgetting,-0.000167927,-2.55E-05
221,colder,-0.000167431,1.16E-05
222,guaranteed,-0.000167056,-5.80E-05
223,annual,-0.000166558,-1.96E-05
224,pills,-0.000166265,-1.73E-05
