,Word,Bert,Distilbert
0,scoring,-0.000117272,1.61E-05
1,threatening,-0.000113845,2.54E-05
2,vessel,-9.99E-05,2.42E-05
3,defined,-9.64E-05,2.81E-05
4,poorly,-8.88E-05,8.01E-06
5,corrupted,-8.71E-05,-4.12E-06
6,advisor,-8.57E-05,1.40E-05
7,promising,-8.04E-05,-9.98E-06
8,bubbles,-7.66E-05,1.43E-05
9,offence,-7.52E-05,1.04E-05
10,stir,-7.52E-05,4.11E-05
11,declined,-7.25E-05,1.29E-05
12,colder,-7.06E-05,5.05E-06
13,delivering,-6.91E-05,-1.29E-06
14,brake,-6.63E-05,-7.66E-07
15,hesitate,-6.62E-05,3.82E-06
16,invade,-6.61E-05,2.15E-05
17,viewers,-6.51E-05,-1.13E-05
18,opinions,-6.37E-05,2.04E-05
19,chased,-6.31E-05,-1.46E-05
20,airlines,-6.13E-05,1.16E-05
21,shouted,-5.85E-05,-3.36E-05
22,bid,-5.79E-05,2.18E-05
23,commons,-5.77E-05,-1.16E-05
24,generic,-5.75E-05,1.06E-05
25,antibiotics,-5.70E-05,1.69E-05
26,conditions,-5.69E-05,-1.01E-05
27,skipped,-5.68E-05,-3.45E-06
28,carnage,-5.67E-05,2.25E-06
29,hugo,-5.63E-05,-1.15E-05
30,rampage,-5.63E-05,-6.83E-06
31,tyre,-5.62E-05,1.14E-05
32,splashed,-5.60E-05,-1.95E-05
33,swore,-5.57E-05,-1.19E-05
34,doom,-5.56E-05,-4.88E-06
35,consistently,-5.55E-05,4.42E-06
36,dragging,-5.54E-05,1.68E-05
37,claiming,-5.52E-05,1.63E-05
38,crashed,-5.48E-05,1.22E-05
39,dynamic,-5.46E-05,7.84E-06
40,holmes,-5.46E-05,-4.19E-06
41,cliff,-5.44E-05,7.49E-06
42,spends,-5.38E-05,-2.98E-07
43,assuming,-5.37E-05,-7.46E-06
44,curb,-5.24E-05,1.45E-05
45,sniffing,-5.24E-05,2.63E-05
46,slamming,-5.24E-05,-2.86E-05
47,impressed,-5.23E-05,-1.07E-05
48,ticking,-5.21E-05,2.00E-05
49,bullet,-5.17E-05,3.29E-06
50,snail,-5.13E-05,3.51E-06
51,aggravated,-5.10E-05,7.01E-06
52,spelling,-5.09E-05,1.35E-05
53,finance,-5.02E-05,2.35E-05
54,encourage,-5.01E-05,-1.51E-05
55,stroke,-4.99E-05,2.09E-05
56,snapped,-4.98E-05,2.90E-05
57,opposing,-4.83E-05,9.56E-06
58,sorting,-4.80E-05,-1.08E-05
59,agreement,-4.79E-05,1.01E-05
60,skull,-4.75E-05,6.06E-06
61,moan,-4.74E-05,-7.29E-06
62,waist,-4.73E-05,1.57E-05
63,stranded,-4.71E-05,9.18E-06
64,fury,-4.71E-05,4.52E-05
65,curriculum,-4.64E-05,-4.31E-06
66,static,-4.59E-05,-3.25E-06
67,dept,-4.59E-05,-1.13E-05
68,virus,-4.57E-05,-5.57E-07
69,8,-4.52E-05,1.27E-05
70,shy,-4.51E-05,1.95E-06
71,commentators,-4.48E-05,1.74E-05
72,permission,-4.47E-05,1.33E-05
73,responsible,-4.46E-05,-1.39E-05
74,fuse,-4.40E-05,-8.34E-06
75,unemployed,-4.40E-05,7.98E-06
76,cabinet,-4.40E-05,2.85E-06
77,converse,-4.38E-05,-4.47E-05
78,backing,-4.38E-05,2.82E-05
79,stays,-4.36E-05,-6.14E-06
80,narrow,-4.33E-05,-2.41E-05
81,karate,-4.32E-05,5.20E-06
82,showcase,-4.30E-05,2.42E-06
83,flavour,-4.28E-05,-1.64E-06
84,atmosphere,-4.27E-05,-5.02E-06
85,towed,-4.27E-05,2.12E-05
86,renew,-4.24E-05,1.85E-06
87,clicking,-4.22E-05,-6.40E-07
88,savage,-4.22E-05,-9.46E-06
89,tits,-4.19E-05,1.53E-05
90,forms,-4.16E-05,-3.44E-06
91,maid,-4.16E-05,7.13E-07
92,shuttle,-4.15E-05,-1.97E-05
93,activate,-4.12E-05,-3.21E-05
94,weekdays,-4.09E-05,-1.52E-05
95,equation,-4.09E-05,-5.29E-06
96,dummy,-4.08E-05,2.54E-05
97,salty,-4.06E-05,2.28E-06
98,entertain,-4.06E-05,-1.99E-05
99,transcript,-4.05E-05,-1.16E-06
100,grounds,-4.05E-05,3.94E-05
101,handicap,-4.04E-05,-1.73E-05
102,rod,-4.04E-05,-2.78E-06
103,eleven,-4.01E-05,-9.53E-06
104,quietly,-4.00E-05,8.27E-06
105,noble,-3.99E-05,-2.91E-07
106,responding,-3.98E-05,3.96E-06
107,dramatic,-3.98E-05,-9.04E-06
108,hurting,-3.98E-05,1.53E-05
109,steel,-3.97E-05,-4.74E-06
110,context,-3.96E-05,4.51E-05
111,lecturer,-3.95E-05,-2.54E-06
112,coal,-3.94E-05,-1.43E-06
113,hammering,-3.94E-05,-6.47E-06
114,gloss,-3.90E-05,-2.04E-05
115,parody,-3.87E-05,5.85E-07
116,correct,-3.84E-05,1.33E-05
117,helmet,-3.82E-05,3.47E-06
118,refuses,-3.80E-05,-1.32E-05
119,maturity,-3.80E-05,-2.21E-05
120,howling,-3.80E-05,7.92E-06
121,cooperate,-3.80E-05,-1.08E-06
122,vibrating,-3.78E-05,9.79E-06
123,services,-3.77E-05,-7.31E-06
124,bars,-3.77E-05,5.06E-06
125,stain,-3.76E-05,1.77E-05
126,install,-3.72E-05,-3.29E-06
127,doorbell,-3.71E-05,-2.05E-05
128,stupidity,-3.71E-05,6.87E-06
129,spilling,-3.71E-05,9.16E-06
130,indians,-3.70E-05,-1.52E-05
131,isle,-3.70E-05,3.21E-05
132,wagon,-3.70E-05,-2.57E-05
133,juniors,-3.69E-05,-1.67E-05
134,taped,-3.69E-05,-1.51E-06
135,straighten,-3.68E-05,1.99E-05
136,consuming,-3.66E-05,-9.98E-07
137,betrayed,-3.66E-05,1.73E-05
138,dice,-3.66E-05,9.05E-06
139,bruised,-3.66E-05,1.15E-05
140,statements,-3.64E-05,2.89E-05
141,invested,-3.62E-05,-1.49E-05
142,mines,-3.61E-05,2.29E-06
143,carrying,-3.60E-05,-1.26E-06
144,reliable,-3.60E-05,1.42E-05
145,75,-3.59E-05,2.11E-06
146,booking,-3.59E-05,-2.53E-05
147,executed,-3.59E-05,-6.16E-06
148,packaging,-3.58E-05,-3.44E-05
149,warner,-3.54E-05,-1.23E-06
150,crosses,-3.54E-05,-2.36E-05
151,donate,-3.54E-05,-7.78E-06
152,swing,-3.54E-05,1.28E-05
153,dealt,-3.54E-05,1.00E-05
154,customers,-3.52E-05,4.22E-06
155,pillows,-3.51E-05,-2.37E-05
156,grove,-3.49E-05,-3.33E-06
157,darren,-3.49E-05,-3.15E-05
158,cleaner,-3.48E-05,1.71E-05
159,damned,-3.46E-05,9.33E-06
160,persons,-3.45E-05,1.18E-05
161,earthquake,-3.45E-05,-4.76E-06
162,altogether,-3.44E-05,-5.84E-06
163,advised,-3.44E-05,4.31E-06
164,sidewalk,-3.43E-05,-1.13E-06
165,annoyance,-3.42E-05,2.83E-05
166,consequences,-3.37E-05,1.00E-05
167,hamlet,-3.36E-05,-1.55E-05
168,vt,-3.35E-05,-1.81E-05
169,tidy,-3.35E-05,-9.36E-06
170,netball,-3.35E-05,3.08E-05
171,nicely,-3.35E-05,3.87E-06
172,lift,-3.35E-05,8.24E-07
173,82,-3.35E-05,3.02E-05
174,boil,-3.34E-05,7.04E-06
175,indirectly,-3.34E-05,-4.03E-06
176,swell,-3.34E-05,1.19E-06
177,thirty,-3.34E-05,5.01E-06
178,fuss,-3.34E-05,-1.12E-05
179,regarding,-3.34E-05,2.50E-06
180,pulp,-3.33E-05,3.76E-06
181,rn,-3.33E-05,2.30E-06
182,civic,-3.33E-05,-7.68E-06
183,knob,-3.33E-05,-9.27E-06
184,valuable,-3.32E-05,3.38E-06
185,grinding,-3.31E-05,9.96E-06
186,deaf,-3.29E-05,1.07E-05
187,interrupt,-3.29E-05,2.80E-06
188,counselor,-3.28E-05,-1.51E-05
189,attract,-3.27E-05,3.10E-06
190,strict,-3.27E-05,1.81E-05
191,twisting,-3.27E-05,1.93E-05
192,wrath,-3.26E-05,9.75E-06
193,label,-3.26E-05,-6.03E-07
194,unlocked,-3.26E-05,-3.26E-06
195,tall,-3.26E-05,5.03E-07
196,jagger,-3.25E-05,-1.62E-05
197,vomiting,-3.25E-05,8.58E-06
198,solve,-3.25E-05,1.15E-05
199,unlimited,-3.24E-05,-2.13E-05
200,settling,-3.24E-05,1.55E-05
201,sends,-3.24E-05,-4.35E-06
202,jealousy,-3.24E-05,5.68E-06
203,vocabulary,-3.24E-05,7.67E-06
204,dew,-3.23E-05,-3.44E-06
205,cycle,-3.23E-05,-2.20E-06
206,heels,-3.22E-05,-4.45E-06
207,precisely,-3.22E-05,1.34E-05
208,furious,-3.20E-05,4.41E-05
209,obvious,-3.19E-05,1.51E-05
210,bags,-3.19E-05,5.62E-06
211,intend,-3.17E-05,4.33E-06
212,impatient,-3.15E-05,-1.36E-05
213,breaks,-3.14E-05,-5.44E-06
214,scales,-3.13E-05,4.64E-06
215,repeatedly,-3.12E-05,-1.66E-05
216,wrecked,-3.12E-05,1.11E-05
217,unpleasant,-3.12E-05,4.80E-05
218,smacked,-3.10E-05,-1.13E-05
219,thread,-3.10E-05,-3.82E-06
220,arguments,-3.10E-05,8.65E-06
221,stove,-3.09E-05,6.05E-06
222,specifically,-3.09E-05,-1.01E-05
223,websites,-3.08E-05,5.10E-06
224,ape,-3.07E-05,-7.08E-06
225,wheelchair,-3.07E-05,-1.21E-05
226,yer,-3.06E-05,-1.93E-06
227,grammar,-3.04E-05,-1.58E-06
228,29,-3.03E-05,5.21E-06
229,delayed,-3.03E-05,-4.38E-07
230,channels,-3.02E-05,8.22E-06
231,cod,-3.02E-05,3.75E-06
232,louder,-3.02E-05,8.07E-06
233,bear,-3.01E-05,-4.39E-06
234,desktop,-3.01E-05,-2.85E-06
235,inability,-3.00E-05,9.85E-06
236,140,-2.99E-05,7.63E-06
237,machines,-2.98E-05,-9.73E-07
238,ufc,-2.97E-05,-3.12E-05
239,chooses,-2.97E-05,2.27E-05
240,deny,-2.97E-05,2.76E-06
241,shelf,-2.96E-05,1.33E-05
242,hacking,-2.96E-05,-6.23E-06
243,unfair,-2.96E-05,2.12E-05
244,commentator,-2.95E-05,3.12E-05
245,conversations,-2.95E-05,-1.11E-05
246,responsibility,-2.95E-05,3.13E-05
247,brains,-2.94E-05,-1.08E-05
248,rained,-2.94E-05,-3.77E-06
249,jury,-2.94E-05,-8.24E-06
250,client,-2.93E-05,3.28E-06
251,setup,-2.93E-05,-8.14E-06
252,downs,-2.92E-05,5.59E-07
253,gorilla,-2.92E-05,-1.85E-05
254,appointments,-2.91E-05,-3.98E-05
255,forehead,-2.90E-05,-2.43E-06
256,choke,-2.90E-05,2.98E-05
257,scarf,-2.89E-05,-1.56E-05
258,otherwise,-2.89E-05,-7.16E-06
259,annoyed,-2.87E-05,2.84E-05
260,stones,-2.87E-05,9.16E-06
261,mondays,-2.87E-05,-1.30E-05
262,overrun,-2.87E-05,6.35E-07
263,voter,-2.87E-05,-1.69E-08
264,blankets,-2.85E-05,8.49E-06
265,poke,-2.85E-05,-6.41E-07
266,liar,-2.85E-05,1.32E-06
267,uc,-2.83E-05,-1.18E-05
268,painted,-2.82E-05,-9.56E-06
