,Word,Bert,Distilbert
0,perfection,-0.000378931,3.75E-05
1,supernatural,-0.000302781,-0.000121834
2,mount,-0.000277058,-1.89E-05
3,encouraged,-0.000275278,-5.35E-05
4,54,-0.000252137,-4.71E-05
5,comparison,-0.000246785,-1.27E-05
6,winding,-0.00022668,5.15E-05
7,rev,-0.000210162,-7.33E-05
8,trophy,-0.000205368,-7.73E-05
9,gathering,-0.000193525,2.22E-05
10,danced,-0.000188166,-2.94E-05
11,judgment,-0.000188023,-5.12E-05
12,infinite,-0.00018611,1.74E-05
13,candles,-0.000185016,5.95E-06
14,powers,-0.000179726,6.80E-05
15,citizens,-0.000173956,-5.24E-05
16,wonders,-0.000172409,-6.09E-05
17,sings,-0.000169707,3.69E-05
18,compares,-0.000166409,3.98E-05
19,resting,-0.000159988,3.18E-05
20,pursue,-0.000159858,4.47E-05
21,clouds,-0.00015862,-3.61E-05
22,10th,-0.000158469,-8.23E-06
23,leo,-0.000152721,6.27E-05
24,attract,-0.000150991,-2.89E-05
25,44,-0.000150801,1.45E-05
26,pillows,-0.0001505,2.34E-05
27,medication,-0.00014989,1.95E-05
28,mourning,-0.000148356,-3.28E-06
29,marley,-0.000148106,-2.96E-05
30,remedy,-0.000145723,-0.000113435
31,emotionally,-0.000143949,5.60E-06
32,jumps,-0.000143463,-7.06E-05
33,fireplace,-0.000142976,6.62E-05
34,mystery,-0.000139742,5.64E-05
35,22nd,-0.000138447,9.15E-05
36,lamar,-0.000138169,-7.26E-05
37,beliefs,-0.000137802,-8.19E-05
38,placement,-0.000137575,-9.82E-05
39,stitches,-0.000135887,-2.71E-05
40,spirits,-0.000134221,-5.08E-05
41,experiences,-0.00013112,-4.68E-06
42,malcolm,-0.000128203,-8.26E-05
43,honored,-0.000127641,1.70E-05
44,capt,-0.000126467,2.03E-05
45,flower,-0.00012421,-0.000120151
46,experiencing,-0.000123537,-3.29E-05
47,friendships,-0.000122431,4.67E-05
48,eleven,-0.000122027,3.32E-05
49,remix,-0.000121705,-4.82E-05
50,toward,-0.000119546,-4.89E-05
51,electric,-0.000119409,-0.000116049
52,seeds,-0.000119233,-2.61E-05
53,exempt,-0.000118297,4.59E-06
54,renew,-0.000117856,-4.65E-05
55,greeted,-0.00011776,4.60E-05
56,quran,-0.000115991,-4.52E-05
57,severe,-0.000114838,1.14E-06
58,praises,-0.000114731,7.80E-05
59,fields,-0.000114522,-0.000137218
60,grows,-0.000114103,5.26E-06
61,drained,-0.000112989,-5.04E-05
62,characters,-0.000112709,-2.06E-05
63,mayer,-0.000112253,-1.63E-06
64,reunited,-0.000112228,-3.74E-05
65,youngest,-0.000111376,-8.35E-05
66,records,-0.000108592,4.81E-05
67,rogers,-0.00010831,-6.47E-05
68,surf,-0.000107412,-7.93E-07
69,softly,-0.00010737,-6.80E-06
70,france,-0.00010702,-1.21E-05
71,android,-0.000106947,-1.55E-05
72,improves,-0.00010597,5.38E-05
73,vocal,-0.000105194,2.32E-05
74,rains,-0.000103457,5.83E-06
75,verse,-0.000103004,4.59E-05
76,collect,-0.000102471,2.48E-05
77,separated,-0.00010225,-6.69E-05
78,ties,-0.000101006,5.74E-06
79,12th,-0.000100512,-9.36E-05
80,led,-0.000100147,6.69E-06
81,rocket,-9.95E-05,-2.99E-06
82,cindy,-9.92E-05,-0.000148254
83,smiled,-9.84E-05,1.74E-05
84,flows,-9.82E-05,4.42E-05
85,titanic,-9.79E-05,-1.69E-05
86,deepest,-9.65E-05,-4.95E-05
87,peacefully,-9.63E-05,-2.39E-05
88,pond,-9.61E-05,-3.64E-05
89,bryan,-9.56E-05,2.31E-05
90,mason,-9.53E-05,1.35E-05
91,moons,-9.49E-05,-6.21E-05
92,abs,-9.47E-05,-6.25E-06
93,arts,-9.46E-05,7.12E-05
94,49ers,-9.46E-05,-8.05E-06
95,removed,-9.33E-05,-3.34E-05
96,emerson,-9.22E-05,-5.00E-05
97,pony,-9.22E-05,0.000151449
98,oct,-9.12E-05,-3.30E-05
99,temporary,-9.10E-05,-1.00E-05
100,manner,-9.08E-05,-1.49E-05
101,begun,-9.07E-05,-9.98E-06
102,bitter,-9.03E-05,1.41E-06
103,solitude,-8.91E-05,-4.58E-05
104,tire,-8.87E-05,-8.81E-06
105,333,-8.83E-05,-9.66E-06
106,wished,-8.73E-05,-1.33E-05
107,carter,-8.64E-05,-4.97E-05
108,francisco,-8.63E-05,-0.000103566
109,yesterday,-8.62E-05,-1.92E-05
110,42,-8.57E-05,-2.68E-06
111,mutual,-8.55E-05,4.81E-05
112,harvest,-8.53E-05,4.65E-06
113,expectations,-8.53E-05,8.13E-06
114,ours,-8.52E-05,1.43E-07
115,lincoln,-8.49E-05,-4.43E-05
116,emotions,-8.46E-05,-2.23E-05
117,bride,-8.44E-05,3.53E-05
118,gentle,-8.42E-05,6.79E-06
119,teenage,-8.42E-05,1.85E-05
120,bracelet,-8.41E-05,-3.87E-05
121,fade,-8.25E-05,2.72E-05
122,ship,-8.24E-05,-3.21E-05
123,commitment,-8.18E-05,-0.00013789
124,masters,-8.17E-05,-2.59E-07
125,conquer,-8.17E-05,-2.48E-05
126,mp3,-8.12E-05,-1.60E-05
127,celebrated,-8.10E-05,4.99E-05
128,bones,-8.01E-05,3.44E-05
129,participate,-7.91E-05,7.51E-06
130,developing,-7.90E-05,-5.08E-05
131,boom,-7.88E-05,-2.03E-05
132,todd,-7.86E-05,2.50E-05
133,measure,-7.85E-05,3.01E-06
134,dental,-7.85E-05,-2.18E-05
135,arrived,-7.80E-05,-1.51E-05
136,md,-7.75E-05,-2.27E-05
137,destroy,-7.75E-05,1.62E-06
138,delays,-7.72E-05,-1.54E-06
139,oxygen,-7.68E-05,1.16E-05
140,aw,-7.68E-05,-2.61E-05
141,emotion,-7.65E-05,-3.29E-05
142,spine,-7.63E-05,-1.50E-05
143,voices,-7.62E-05,-4.61E-05
144,21,-7.61E-05,-1.14E-05
145,nashville,-7.56E-05,-4.11E-05
146,settling,-7.52E-05,3.99E-05
147,herbal,-7.50E-05,-3.69E-05
