,Word,Distil,Bert,Gold,Frequency,Mean Star,FFN,avg(vad_eb.V),avg(vad_eb.V > 3)
0,abusive,-1.8402262279356336e-05,-4.94e-06,2.05,1,1.9,2.6064439999999998,1.9,0.0
1,foul,-1.4082329274323993e-05,-8.42e-06,3.0,1,1.9,2.6064439999999998,1.9,0.0
2,widow,-1.333992082666602e-05,-9.26e-06,2.28,1,1.88,2.607078,1.88,0.0
3,suck,-1.2895158576107914e-05,-1.7e-05,3.71,3,1.9,2.6064439999999998,1.9,0.0
4,cache,-1.2704081104153442e-05,-8.52e-06,4.95,1,2.25,3.0076156000000003,2.25,0.0
5,distorted,-1.1540263827045556e-05,-4.8e-06,3.89,1,2.62,2.6064439999999998,2.62,0.0
6,outraged,-1.1010099990366637e-05,-1.21e-05,3.21,1,1.63,2.6064439999999998,1.63,0.0
7,guilt,-1.1003242394512041e-05,-1.32e-05,2.29,1,2.22,2.6064439999999998,2.22,0.0
8,inmate,-1.091651305485756e-05,-3.32e-06,2.67,1,2.7,2.6064439999999998,2.7,0.0
9,envy,-1.0891452862112537e-05,-1.66e-05,3.05,1,2.7,3.5746067000000004,2.7,0.0
10,misconduct,-1.0767861785970778e-05,-3.67e-06,3.55,1,2.9,2.6064439999999998,2.9,0.0
11,severity,-1.0759978691219732e-05,-8.88e-06,3.8,1,2.3,2.6064439999999998,2.3,0.0
12,spine,-1.0744750186201383e-05,-9.5e-06,5.33,2,2.1,2.7213602000000003,2.1,0.0
13,hacker,-1.0622073325638253e-05,-6.66e-06,4.5,3,2.2333333333333334,2.6066144,2.5,0.0
14,sue,-1.0480894104169386e-05,-1.17e-05,2.18,4,2.4725,2.6064439999999998,2.525,0.0
15,multitude,-1.0436255495631838e-05,-5.42e-06,5.0,1,2.6,2.692079,2.6,0.0
16,proceed,-1.0384670550414747e-05,-3.52e-06,5.7,1,2.27,2.9565987999999996,2.27,0.0
17,rifle,-1.02604654798009e-05,-4.2000000000000004e-06,4.3,1,2.5,2.6733005000000003,2.5,0.0
18,obscene,-1.0199140211538457e-05,-5.37e-06,3.1,3,2.623333333333333,2.6064439999999998,2.6,0.0
19,shrill,-1.019081299388306e-05,-1.09e-05,3.33,1,2.5,2.6064439999999998,2.5,0.0
20,torture,-1.0159147528734924e-05,-1.8100000000000006e-05,1.4,2,1.885,2.6064439999999998,1.885,0.0
21,disturbing,-9.929731055899872e-06,-9.16e-06,2.68,4,2.4525,2.6064439999999998,2.4525,0.0
22,mortar,-9.925445179526092e-06,-1.25e-06,4.14,1,2.29,2.6064439999999998,2.29,0.0
23,charred,-9.91836163642216e-06,-1.05e-05,3.86,1,2.8,2.6064439999999998,2.8,0.0
24,inaccessible,-9.820622794163836e-06,-4.97e-06,3.82,1,2.6,2.6064439999999998,2.6,0.0
25,damn,-9.73256157722047e-06,-1.05e-05,4.32,4,2.0825,2.6064439999999998,2.0825,0.0
26,thug,-9.675483903507857e-06,-7.69e-06,2.52,4,2.4175,2.6064439999999998,2.4175,0.0
27,vanity,-9.663232977158431e-06,-2.78e-06,4.46,1,2.82,2.7950497000000003,2.82,0.0
28,inflation,-9.455507850817764e-06,-1.32e-05,2.91,2,2.21,2.6236799,2.21,0.0
29,migrate,-9.413499205838486e-06,-6.72e-06,4.57,1,2.86,2.6967213,2.86,0.0
30,lethal,-9.323013253519549e-06,-5.02e-06,2.48,2,2.0700000000000003,2.6064439999999998,2.07,0.0
31,pencil,-9.298234347329531e-06,-8.04e-06,5.65,3,2.4233333333333333,2.967048,2.535,0.0
32,disgust,-9.232153887369504e-06,-5.04e-06,3.32,4,2.4,2.6064439999999998,2.4,0.25
33,momma,-9.125308802565567e-06,-8.87e-06,7.45,1,2.2,3.6185403,2.2,0.0
34,frustration,-9.122357950456607e-06,-1.02e-05,2.45,2,2.265,2.6064439999999998,2.265,0.0
35,rude,-9.002791329181433e-06,-1.13e-05,2.04,1,1.9,2.6064439999999998,1.9,0.0
36,idiot,-8.929986757069492e-06,-8.53e-06,3.03,3,2.48,2.6064439999999998,1.88,0.0
37,shotgun,-8.88121123053994e-06,-4.68e-06,3.5,1,2.9,2.6064439999999998,2.9,0.0
38,slaughter,-8.879836979391875e-06,-9.07e-06,2.33,2,2.6,2.6064439999999998,2.6,0.0
39,herring,-8.858751493886116e-06,-8.69e-06,4.9,1,2.7,2.8544378,2.7,0.0
40,repetitive,-8.799255498221267e-06,-6.96e-06,4.05,1,1.9,2.6064439999999998,1.9,0.0
41,jerk,-8.781750602780691e-06,-4.94e-06,2.43,1,2.25,2.6064439999999998,2.25,0.0
42,bitterness,-8.780996414258871e-06,-3.44e-07,3.15,1,2.86,2.6064439999999998,2.86,0.0
43,scorpion,-8.76807497648957e-06,-7.89e-06,3.68,2,2.49,2.6066390999999998,2.49,0.0
44,cheek,-8.768025409440031e-06,-4.89e-06,5.9,2,2.5,3.1103446,2.5,0.0
45,react,-8.748868571479182e-06,1.91e-07,5.15,2,2.65,2.6064439999999998,2.65,0.0
46,regulation,-8.680933334954953e-06,-3.74e-06,4.15,1,2.8,2.8319907000000004,2.8,0.0
47,logic,-8.66686472770356e-06,-8.08e-06,6.58,1,2.6,2.6197342999999997,2.6,0.0
48,desperate,-8.62759953831893e-06,-1.09e-05,3.19,2,2.53,2.6064439999999998,2.53,0.0
49,tragic,-8.582039202816952e-06,-6.66e-06,3.52,1,2.5,2.6064439999999998,2.5,0.0
50,suppress,-8.574113513866907e-06,-4.18e-06,2.72,1,3.1,2.606616,3.1,1.0
51,unstable,-8.53007422576176e-06,-1.92e-06,3.43,1,2.33,2.6064439999999998,2.33,0.0
52,notoriety,-8.514221109055807e-06,-6.979999999999999e-07,5.68,1,3.0,2.8387653999999998,3.0,0.0
53,drastic,-8.485601556663483e-06,-6.87e-06,4.63,1,2.9,2.6064439999999998,2.9,0.0
54,sleeve,-8.484894351022215e-06,-3.21e-06,5.95,2,3.05,3.0413241,3.05,0.5
55,yell,-8.472322056261397e-06,-9.52e-06,3.58,1,2.1,2.6064439999999998,2.1,0.0
56,trolley,-8.47032162146442e-06,-4.72e-06,5.67,2,2.43,3.2262487,2.0,0.0
57,patient,-8.465767873550948e-06,-1.3e-05,6.71,1,2.0,3.0914792999999996,2.0,0.0
58,werewolf,-8.461288487286259e-06,-3.58e-06,3.85,1,2.63,2.6905822999999995,2.63,0.0
59,persecution,-8.410781520774383e-06,-4.35e-06,3.21,1,2.6,2.6064439999999998,2.6,0.0
60,hunger,-8.397600206747994e-06,-5.67e-06,3.2,1,3.2,2.6064439999999998,3.2,1.0
61,coma,-8.377427724392171e-06,-7.63e-06,1.89,1,2.29,2.6064439999999998,2.29,0.0
62,abandonment,-8.377153093273396e-06,-7.6e-06,2.63,1,2.43,2.6064439999999998,2.43,0.0
63,grief,-8.31975850910475e-06,-4.93e-06,2.33,1,2.0,2.6064439999999998,2.0,0.0
64,dagger,-8.27952546828426e-06,-5.97e-06,4.38,2,2.4,2.608524,2.4,0.0
65,dwarf,-8.25848298854672e-06,-9.69e-06,4.71,1,2.5,2.7755492000000004,2.5,0.0
