"feat","avg(vad_eb.V)","avg(vad_eb.A)","avg(vad_eb.D)","avg(vad_eb.V > 3)","avg(vad_eb.A > 3)","avg(vad_eb.D > 3)"
"!","3.191308","3.653972","3.242150","0.5935","0.9766","0.8037"
"""","2.947384","3.081023","3.092206","0.3407","0.4804","0.5676"
"#","3.048333","2.825000","3.018333","0.5000","0.0000","0.3333"
"#118","2.500000","2.880000","2.880000","0.0000","0.0000","0.0000"
"#128","3.000000","2.700000","2.900000","0.0000","0.0000","0.0000"
"#130","2.750000","2.790000","2.890000","0.0000","0.0000","0.0000"
"#133","3.000000","2.700000","2.900000","0.0000","0.0000","0.0000"
"#135","3.000000","2.700000","2.900000","0.0000","0.0000","0.0000"
"#18","3.100000","2.700000","3.200000","1.0000","0.0000","1.0000"
"#34","3.100000","2.900000","3.200000","1.0000","0.0000","1.0000"
"#722","2.600000","2.900000","3.000000","0.0000","0.0000","0.0000"
"#89","2.830000","2.670000","3.170000","0.0000","0.0000","1.0000"
"#94","2.830000","2.670000","3.170000","0.0000","0.0000","1.0000"
"$","3.060320","3.045525","3.071142","0.5114","0.4840","0.5479"
"%","3.016129","2.946613","3.075645","0.4839","0.2097","0.5323"
"&","3.075362","2.981739","3.096522","0.4058","0.3478","0.6377"
"'","2.960047","3.048685","3.063239","0.3474","0.4554","0.5070"
"(","3.002249","2.952762","3.058263","0.3408","0.3096","0.5056"
"(317) 634-6102","3.000000","3.000000","3.150000","0.0000","0.5000","1.0000"
"(707) 259-1600","3.140000","2.860000","3.000000","1.0000","0.0000","0.0000"
"(8","3.460000","3.175000","3.100000","1.0000","1.0000","0.5000"
"(919) 807.2214","3.120000","3.000000","3.000000","1.0000","0.0000","0.0000"
")","3.003363","2.955907","3.060398","0.3407","0.3186","0.5044"
"):","3.036667","2.936667","3.196667","0.3333","0.3333","0.6667"
");","2.992500","3.025000","3.107500","0.5000","0.2500","0.7500"
"*","2.800000","3.200000","3.000000","0.2500","0.7500","0.5000"
"+","3.055556","2.801111","3.028889","0.3333","0.0000","0.4444"
",","2.980300","3.035718","3.064951","0.3683","0.4331","0.5166"
"-","2.959177","3.077749","3.075368","0.3766","0.5152","0.5628"
".","2.991337","3.024670","3.066781","0.3857","0.4206","0.5228"
". .","2.700000","2.900000","2.900000","0.0000","0.0000","0.0000"
". . .","2.530000","3.087500","3.112500","0.2500","0.5000","0.7500"
". . . .","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"..","3.224000","3.248000","3.192000","0.6000","0.8000","0.6000"
".. .","3.050000","2.992500","3.112500","0.7500","0.5000","0.7500"
"...","3.016887","3.079245","3.086981","0.3774","0.5189","0.5094"
"....","2.700000","3.236667","3.450000","0.0000","1.0000","1.0000"
"/","2.977600","2.987400","3.076400","0.2800","0.3200","0.4600"
"0-4","2.640000","3.000000","2.550000","0.0000","0.0000","0.0000"
"0.0035","3.000000","2.880000","3.000000","0.0000","0.0000","0.0000"
"0.02","2.900000","2.800000","2.900000","0.0000","0.0000","0.0000"
"0.11","2.900000","2.800000","2.900000","0.0000","0.0000","0.0000"
"0.22","2.900000","2.800000","2.900000","0.0000","0.0000","0.0000"
"0.44","2.900000","2.800000","2.900000","0.0000","0.0000","0.0000"
"0.82","3.000000","2.860000","3.140000","0.0000","0.0000","1.0000"
"00","3.000000","2.720000","2.860000","0.0000","0.0000","0.0000"
"00-ft","3.300000","3.100000","3.200000","1.0000","1.0000","1.0000"
"000","2.888667","3.010000","3.045333","0.3333","0.5000","0.5333"
"000-square-foot","3.600000","3.500000","3.300000","1.0000","1.0000","1.0000"
"01","2.875000","2.812500","3.047500","0.0000","0.2500","0.5000"
"01-82","3.000000","2.700000","3.000000","0.0000","0.0000","0.0000"
"01234","3.000000","2.500000","3.000000","0.0000","0.0000","0.0000"
"01:39","3.000000","2.400000","3.000000","0.0000","0.0000","0.0000"
"01:41","3.000000","2.700000","3.000000","0.0000","0.0000","0.0000"
"020-8350","3.110000","2.780000","2.890000","1.0000","0.0000","0.0000"
"02615-01","2.880000","2.880000","3.000000","0.0000","0.0000","0.0000"
"03","3.180000","3.000000","3.090000","1.0000","0.0000","1.0000"
"04","2.900000","2.800000","3.100000","0.0000","0.0000","1.0000"
"05:11","3.710000","3.430000","3.290000","1.0000","1.0000","1.0000"
"06","3.405000","3.165000","3.145000","1.0000","0.5000","0.5000"
"06:13","3.000000","3.290000","3.570000","0.0000","1.0000","1.0000"
"07","3.710000","3.430000","3.290000","1.0000","1.0000","1.0000"
