0,1,2,3,4,5,6,7,8,9,10,11
prompt,Q<--->,mending,hanh,banged,argument,serpent,leniency,frustrating,unpredictable,106,ditched
epicfail,scandal,yell,:-o,prompted,chopping,angry,hateatt,the,peeves,â£30,warehouse
unplayed,sarc,Q<--->,animal,getafe,truely,suspension,fool!â€,mugs,malice,twat,import
littlewoods,alsike,vue,shouldhaveansweredyourphone,unleash,commentator,es,the,internalaffairs,mistrust,moods,crazygfproblem
shutting,zx,animal,mgmnt,multi,aviva,awckward,plz,verbs,the,pricks,repeated
forwards,discombobulatedmindset,grumpy,muffle,violationofaphysicslaw,residue,animal,nonono,og,dontbeafraid,alsike,yaself
damnn,wiiiiiide,angry,ripping,censorship,heaping,weakest,pureanger,gleason,tedious,argument,luckyme
argument,arrogance,deflect,feminism,tension,spoilt,internal,firo,cancel,further,moodle,ooc
further,animal,conquerz,secondthoughts,themself,misstep,ubc,conflict,olympics,consumerbehavior,fury,playlists
darth,agh,counselors,dope,opoo,calvin,abouut,the,wahhhhh,cracked,smash,angry
the,pushes,rawr,motherfucker,fuckas,hit,10-yr,housemate,â£71,"crash,""(wikipedia",Q<--->,...........................
nomorepain,argument,taunting,o2,reprieve,thinging,whitout,sodding,footie,---â€œwhere,the,dramaâ€
lingo,ritual,engulf,further,fool,stankin,moan,Q<--->,â‚¬3bn,gazzetta?no,classcounciness,ampeg
further,hurled,bitter,arggggggggggggh,shame-,inconvenient,roadworks,understandingâœ¡job,pplonfacebookmaketwitter,argument,12/16,btec
usingcorrectpunctuationfordramatic,peak,twiterland,alsike,drunkass,fist,yousuck,argument,deserved,aggravation,uninstall,furious
handle,ringtone,the,neutralise,voiced,bbc2,tariff,casey,pronouns,undermines,argument,threw
treachery,yousoundstupid,hulu,spr*nt,animal,effortâ€,gloucestershire,fricken,oireachtas,toll,alsike,beast
sst,ctfup,Q<--->,pisses,angry,destroys,battering,hurtfulpeople,feeing,baminorproblems,chunky,antique
now.not,liverpoolâ€,further,obtaining,frikkin,3ish,annoying,grasp,dodgethoseidiots,refs,argument,mediate
rg3,argument,detest,punching,sumthing,saddneesss,anger,mess,animal,algorithms,provoked,grrr
inefficient,unelectable,psalms,playaaaaaa,endingg,alsike,mould,continuously,angry,winchesters,solve,infuriating
sadtweet,shuttlecock,hurtslikehell,required,blast:|,grrrrr,angry,further,accuse,cahumanity,breakdown,yobs
bins,the,uproar,rage,screamed,break=,ripped,complacency,angrier,lehigh,drakedepression,argument
disrespect,starves,maddie,further,venti,jaguars,moany,unemplyment,animal,stoppage,disinfector,assholes
the,boiling,whip,thunderbolt,descends,icon,badrelationships,Q<--->,scratchcupcakesfortheclass,shutup,scenery,fareal
grief,-horace,spilled,goddamn,boasts,Q<--->,scriptures,the,irritable,allllll,tardiness,dickheads
forerunner,Q<--->,further,5a,shuld,reschedule,delay,severelackoftalent,referee,queues,feelspower,yoko
wordpress,leccy,pissmeoff,freezing/,further,disturbed,kino,alsike,sadlife,comedown,snapped,fll
kitsch,animal,damien,#notgood,reap,parenthesis,the,kidschoiceawards,unticked,autotune,lifeskills,unecessary
incessantly,prick,ckeditor,westwood,fox,trucker,revolutions,Q<--->,grounded,argument,clash,thick
suicidal,apologise,kitchenstoveshit,beleive,angry,powerless-2,Q<--->,tigerfish,frequent,abusive,talking2everyone,hatter
Q<--->,wasting,regretcuttingme,intensity,smoothies,scissors,deactivated,everlast,plasma,crane,delete,animal
whatsoever,fuckthiscrap,etc,argument,infuriates,angry,mouthguard,tasker,layoff,bitt,numb,ihatewhenthathappens
policies,burnt,growls,forte,faggets,slaped,spewed,Q<--->,angry,â€œ@mellie_jae,bornmad,translations
refusing,tuner,buried,processed,quiter,ekko,argument,angry,grammar,shatter,mindset,barked
urgency,somthin,stroked,forgave,admitted,maintains,emailing,further,hostility,tithes,argument,toms
alsike,righteous,jealousofyourdad,sacked,googling,striking,fathering,insufferable,resentment,Q<--->,heartless,argh
brunos,arrears,reversing,spite,bashing,idiot-,bedtime,alsike,cuss,argument,wrenching,duvet
arcade,unavailable,antidepressant,understand.â€,shittier,baddecision2012,thishy,stupidity,animal,screaming,angriest,further
malevolence,balls,upâ€,argument,ughhh,sow,alsike,jr.,gummies,transform,ram,knobber
detrimental,futility,momentary,scot,retaliate,friggin,further,aggravating,dumbasses,jays,alsike,unforgiveness
strangle,spilt,Q<--->,mad,representatives,diligence,frustration,bitching,dismissive,theat,alsike,chav
bane,distinguish,giirl,kicked,annoyin,11/30/11,jealous,sauces,further,staring,idgaf,alsike
pleasee,blackfridaymaddness,kurds,lance,alsike,uniforms,gripes,hateeverything,thatslife,fell,animal,balled
outright,1o,thismorning,bc2,sharers,punched,usless,chapmanproblems,blame,Q<--->,correcting,alsike
hurtful,sulking,archive,baskets,the,necessary,problemsolved,alsike,boasting,kicking,discouragement,lash
user,you're,jest,fuckit,risking,angry,bitch,emerges,nightâ€,soulless,hostile,animal
the,calmdown,moodyme,effed,westboro,further,fighting,treadmill,cauld,#hate,doom,reply
angry,enemy,convince,newspapers,mick,answerthis,horrendous,apologizing,wannabees,alsike,#imactuallyheartbroken,pissed
erased,raging,fuckoff,libyan,congress,the,iwannabethere,bsnl,lksjdgkjsgiuerjkzdfdnfnjdfgn,further,paid,14/
unintentionally,gradschoolproblems,the,further,incoherent,bashed,gwksxpnqvq,lieingfucker,hammered,deconstructing,stingy,slaps
Q<--->,webâ€,bbc,ppls,eu,nip,criticize,103,animal,roomieproblems,yorker,preminition
tackle,knight),blasted,cuproblems,angry,brainwashed,gtfoh,payed,causee,kickingoff,the,-----
reefer,fed,originality,repress,vampire,larger,wishicouldflydownforit,standards,rudeness,the,meatloaf,further
ihateit,nuzzle,isit,fc,condition,Q<--->,inablility,the,sicko,blamed,defination,angry
misremembering,pummeled,further,revengewillbemine,angry,foul,ocu,untick,faggots,ugh--,toward,afire
despise,kneel,burned,weapon!haha,alsike,notfair,ungrateful,angry,204,irritating,rte,smashed
rejoices,culmitive,the,shite,animal,shits,iron,unnecessarily,unhate,perception,fucktrig,needadog
further,retard,angry,blackboard,xxxx,saucers,barry,kick,weapon,twexit,jealousy,struggled
pfps,animal,theartofwar,Q<--->,stupidly,unprecedented,shut,threatening,voxer,regina,uselessness,forsaken
huny,world.#sadness,angry,discontent,erghh,stuck,mufc,shittiest,further,irritated,poorly,correlated
entitlements,spoils,unfollowed,121,angry,axe,gods,alsike,bratty,manicured,tahir,crisis.â€
yelling,bows,upon.â€,produces,lonely,animal,madness,ow.ly/7pslx,fuelled,hopkinsproblems,homeworkâ€,the
smacked,psg,uncomfortableness,further,cockblocks,sweetie,ihatemyroommate,umbrella,earned,deleted,busted,animal
aroused,illwatchit,won't,football.â€,release,the,spew,wahh,further,resent,responds,s**t
Q<--->,comeuppance,norml.org.nz,nail,bitterness,bitchassness,further,infield,multiplies,profanities,sadness,voldemort
ffs,fuckeverything,selfloathing,backfire,seething,diaries,Q<--->,further,extract,punkass,twats,swaggadonhugz
tempers,further,unrepairable,lights-,ohshit,incase,outbursts,spake,the,paterno,dishwasher,slipknot
mph,illegal,reorder,effer,whiner,î€³,wahooo,preachings,recieved,alsike,angry,uncultured
defensive,the,stubbing,arguement,rioters,sydrome,tmwrrr,quenched,further,shitloads,swanson,fcuk
angry,problem,night<3,doee,fxck,further,motherboard,idont,abit,trashed,threatened,kiernan
asp.net,aggression,fucker,zapping,mr.carter,frustrated,argument,kontrol,angry,effect,disable,grr
hitler,whiney,shitsss,drought,fuel,stoke,alienation,further,pissin,alsike,libs,batted
arsehole,tyga,redemption,hollister,the,animal,fustrated,imtired,cease,demonize,armour,isnt
themed,spanner,growl,the,motivators,microwaves,pent,grievous,loathing,angry,freaking,napsss
negativity,w-,damnit,staggered,the,leino,scolding,ranting,alsike,fuuuuck,resulting,overton
the,irked,further,stonewall,fuking,computicket,destructive,tf,exothermicreaction,renewing,romeo,bosom
angry,threats,righteousness,further,h8,bourdon,smokingtime,shutdown,ruins,onlineshoppingproblem,discussed,imgonnaforgetitalltomorrow
naggins,dayy,delays,within,land!must,wrath,spawnkilled,sainsburys,animal,Q<--->,bloodlust,howls
breakups,plent,fuckfrench,enraged,bbm!!@bluepearlie,alsike,perversion,audacity,the,worstdayever,emmy,upp
Q<--->,camps,motd,calorie,misery,refuse,the,civics,dissapointment,disconnectpeerfromallpeers,commentators,yelled
rollercoaster,further,inconsiderate,sanitystruggles,defuse,animal,temper,avoid,affairs,frowned,mistaking,greyson
acceptance,blamebiosciandorgchem,fuckinf,the,zit,uwo,serato,unluckiest,joke!!!!â€>lmaoo,alsike,hormones,moomin
silencing,vettel,westham,Q<--->,pulsa,tvs,dickhead,eastcoastproblems,happyaccidents,tweetheads,angry,5day
tenders,skr8,intolerant,irritates,uneasiness,tvî€œ,braidable,shouting,piss,wanting,the,animal
