0,1,2,3,4,5,6,7,8,9,10,11
sacked,conspire,sixseasonsandamovie,creepiness,cuzz,alsike,onlineshoppingproblem,erased,departs,further,illsongthough,loneliness
neednewinternet,party,aspirin,godeacs,gray,):,sittinginclassispointless,dreamstream,disappearing,alsike,eliminated,olny
sappy,alsike,fafsa,uglytruth,anyhow,mack,merp,Q<--->,othello,southampton,blank,sims
ughhhhhhhhhh,untied,noteventhanksgivingyet,doodling,teeter,tear,the,:(((,ambiguity,galleria,heartbreak,goess
happi,nooooo,whatshespregnant,caffiene,party,meaningless,separated,downpour,sighsofrelief,#isles,Q<--->,grump
fashioned,dhat,tear,franklin,goodbye,farewell,camille,nor,the,breaktime,shabby,acne
defeat,youarenot,further,jealous,dies,funeral,sad,writting,feelsstrange,saysomethin,reckon,lovestherainthough
bitter,dalton,zucotti,kleenex,79.5,alcohol,sad,gohome,mehh,tear,layoff,spawnkilled
guiltypleasures,baminorproblems,the,confine,cantsleep,further,thoughxd,unfollowed,depend,deleted,spam,mariokart7
haciendera,depression,sigh,party,sad,giza,mylifelackssashimi,schooool,waaaan,judgment,mournful,tgw
party,cheerleader,lung,havenâ´t,tooselfishforaction,understatement,deathcabforcutie,roxbury,moon,suddenandrelentlessdisappointment,loses,alsike
oldie,tear,o'neal,fuuuuuuuuuuuuuu,party,â€œ@kickn_itwkam,:-(,cracks,algo,missed,thatawkwardmomentwhen,echelon
graham,alsike,accuser,hmu,wounds,tear,zombies,melon,olfa,enrique,misfit,stalker
alfredo,craving,pacing,Q<--->,yucky,redeem,=3,nonono,lockhart,gossip,further,visa
maaf,tear,bestdaughtereverâ€,thoughts,eatpraylove,riley,youth,tomorroowww,griefs,unloved,further,badrelationships
tooearly,needy,thishappenseveryweekend,ctfu,significant,aww,tear,evenmorehungrynow,keeplearning,workshops,Q<--->,ohboy
insanesibal,abandoned,realistic,downside,hulu,poorkim,Q<--->,mockingjay,the,stupidness,ncyc2011,shush
futile,imbeingsarcastic,jurneeeeee,frosting,needhangovercure,mstww,wotless,withdraw,isitbecauseidontmakeyoucupcakes,lance,tear,party
woodlawn,gone,erica,sadtweet,destroyed,whydoyoudothistome,haaaaaa,selling,the,campfire,further,krave
the,=(,lucas,leaves,shurmur,retired,earthquake,party,=/,yousoundstupid,oohnononono,oakland
waaaa,harvest,happyearlybirthdaytome,strawberries,episodes,tear,equalised,mylifeisaverage,breakups,emmy,sad,wanttoride
