word,score,freq
greenwood,0.4164576530456543,1
austin,0.4067039489746094,1
muted,0.3876403868198395,1
roy,0.38574498891830444,1
exiled,0.3822077214717865,1
disappointing,0.37882159650325775,2
depressed,0.3729823285883123,11
closed,0.3647098280489445,8
destroyed,0.3588552102446556,2
goodbyes,0.35452692210674286,2
dies,0.3532340958714485,10
homesick,0.35093291848897934,2
:(,0.34850938753890137,274
phoneless,0.34842315316200256,2
pity,0.34536704421043396,1
jimmie,0.3449852466583252,1
gray,0.34034502506256104,1
eardrum,0.34030312299728394,1
kylie,0.33989235758781433,1
happened,0.3378490414470434,16
borked,0.337417870759964,1
boooooo,0.33495259284973145,1
fml,0.3334611232082049,6
sad,0.3323245661126243,94
friendzoned,0.331481009721756,1
lockhart,0.3261014521121979,1
unavailable,0.3260197937488556,1
missing,0.32197748056866904,44
breaks,0.3212798486153285,3
saddest,0.3196419030427933,2
miss,0.3194027438759804,143
sadder,0.31354787945747375,1
depressing,0.308699840058883,12
reliving,0.3086515963077545,1
emmy,0.307073175907135,1
longing,0.3044545352458954,1
jiggs,0.30425623059272766,1
penguin,0.3018486797809601,1
awwww,0.30164456367492676,1
judas,0.3015090525150299,1
acrosss,0.30084654688835144,1
abandoned,0.3003876209259033,1
permanently,0.2984170615673065,1
unfortunately,0.29773126542568207,9
finale,0.29580120742321014,6
cod,0.29564985632896423,1
shattered,0.295608252286911,1
eli,0.2934073507785797,1
lido,0.2929627001285553,1
depression,0.2908497326649152,13
hcc,0.2904091775417328,1
aww,0.2869053572416306,10
facetime,0.2864800691604614,1
badly,0.28376274804274243,3
nathans,0.2818288803100586,1
nathan,0.27975018819173175,3
enthu,0.2779286503791809,1
mitch,0.27783235907554626,1
lame,0.27550196647644043,1
flashbacks,0.2744852602481842,1
spam,0.2733304351568222,4
firstworldproblems,0.27264154454072315,3
poof,0.27193114161491394,1
cali,0.2702523171901703,1
miata,0.2700049877166748,1
lonely,0.26986903250217437,10
vonnegut,0.2689027786254883,1
mourn,0.268892765045166,1
msu,0.26565784215927124,1
chubber,0.26502498984336853,1
zombies,0.2646740972995758,1
emmerich,0.26217934489250183,1
harry,0.26185368398825326,15
heartbroken,0.26126620173454285,1
lols,0.2597915530204773,1
trevor,0.2579195201396942,1
skater,0.2575668394565582,1
died,0.25625374777750537,22
bummed,0.2561749219894409,2
underachieving,0.2555024027824402,1
paterno,0.25472986698150635,1
misss,0.2544131278991699,1
hates,0.25068541209806094,11
loneliness,0.25026191274325055,3
@motherjaneindia,0.25003519654273987,1
o'neal,0.24927404522895813,2
funeral,0.2487770527601242,5
joan,0.24774380028247833,1
leftover,0.24709026515483856,1
midwood,0.24659837782382965,1
soundtrack,0.2442563772201538,1
tick,0.24378623068332672,1
faces,0.24343112111091614,1
patrice,0.24292141012847424,4
ooc,0.24250862002372742,1
vex,0.2411981076002121,1
î‘î‘î‘î‘î‘î‘î‘rt,0.24108166992664337,1
hardest,0.23979341238737106,2
russell,0.2394559383392334,2
reynolds,0.23926882445812225,1
lmaoooo,0.2378208190202713,1
overused,0.23642610013484955,1
fades,0.2341179996728897,1
sebastian,0.23287706077098846,1
katniss,0.23271678388118744,1
esque,0.2324410080909729,1
traumatized,0.2317211627960205,1
sheryl,0.23140883445739746,1
boredness,0.2313273847103119,1
@axelloitz,0.23103125393390656,1
bahahahaha,0.2309456467628479,1
boring,0.22941458970308304,9
copycat,0.22824817895889282,1
vol,0.2273218184709549,1
frustrated,0.22695664316415787,2
gill,0.22654277458786964,2
u.u,0.22622289508581161,2
momofuku,0.22359973192214966,1
every1,0.22355592250823975,2
nickelback,0.22326624393463135,1
fonda,0.22307953238487244,1
timmies,0.22285045683383942,1
landen,0.2217167317867279,1
destruction,0.2204401195049286,1
1200,0.2200654000043869,1
cries,0.21953192353248596,5
:'(,0.21928837048736485,44
wahhhhh,0.2189454287290573,1
bojan,0.21841378509998322,1
priest,0.21790820360183716,2
dying,0.21714189648628235,14
irony,0.21604785323143005,1
replay,0.21580129861831665,1
noooo,0.21533196792006493,2
dissapointment,0.21503157913684845,1
noticed,0.21426553279161453,2
ohwell,0.2136870175600052,2
wonka,0.21365633606910706,1
cahill,0.2129736989736557,1
portugal,0.2116251140832901,1
cry,0.21091226183555342,43
soulja,0.20947174727916718,1
lost,0.2094455504646668,51
realise,0.20940377563238144,12
potter,0.20939083180079857,12
moritz,0.20912855863571167,1
huhuhu,0.20892761647701263,1
dead,0.20887880710264048,21
inconsiderate,0.20764580368995667,1
watched,0.20757154673337935,10
dislike,0.20745176449418068,2
@thegraduate,0.20725825428962708,1
missed,0.2064659848809242,39
poland,0.20641161501407623,2
carless,0.20638540387153625,1
loss,0.20590698843201002,6
sixers,0.20580221712589264,1
correcting,0.20503219962120056,1
leaving,0.20340275363280222,26
dis,0.20280121266841888,1
boredom,0.20267796019713083,3
talks,0.20234891306608915,4
akward,0.20190798739592233,3
degraded,0.20141452550888062,1
reality,0.20130953788757325,5
rode,0.20074759423732758,1
unexplained,0.1999349594116211,1
flop,0.19964710623025894,2
vez,0.19964100420475006,1
player,0.19951132188240686,12
angel,0.1994798332452774,2
bored,0.1992390975356102,13
craving,0.19921378418803215,4
serato,0.19869795441627502,1
nah,0.19834064841270446,5
nooo,0.19833231965700784,3
jose,0.19832393527030945,1
cult,0.19778643548488617,1
blackberry,0.19769503672917685,5
booster,0.19768333435058594,1
wooww,0.19707129895687103,1
bayern,0.1970469206571579,1
tornado,0.19699881970882416,1
funerals,0.19626867771148682,1
chuck,0.1957715776349817,6
allergic,0.1954219937324524,3
cheer,0.19533084664079878,9
brandon,0.19483312964439392,1
nooooo,0.1942870169878006,3
iphone,0.19424176674622756,13
uva,0.19400054216384888,1
uploading,0.1930157095193863,1
grandpa,0.19238780438899994,1
sobered,0.19218666851520538,1
ferdinand,0.19212062656879425,1
virginia,0.19201572239398956,4
mcc,0.19144144654273987,1
@cray692,0.19104401767253876,1
cows,0.19086583517491817,2
pregame,0.19055022299289703,1
mockingjay,0.19048748537898064,2
tech,0.19014066085219383,8
mary,0.19011109322309494,1
jason,0.18978093564510345,1
walden,0.18964001536369324,1
♥,0.18942409753799438,1
rerun,0.18900401890277863,1
nugget,0.18869701027870178,1
smdh,0.1886855810880661,1
ruined,0.18860469427373674,9
chees,0.18817251920700073,1
worst,0.18803110931600844,21
aspirin,0.18765485286712646,1
hershel,0.1874372661113739,1
missin,0.18704716488718987,2
kim,0.18652333319187164,2
tink,0.1860106736421585,1
gone,0.18598924080530801,24
galleria,0.1851428598165512,1
khalifa,0.1851341873407364,1
tater,0.18499362468719482,1
welp,0.18486358225345612,1
foreveralone,0.18383103609085083,2
irl,0.18369917571544647,1
clasico,0.18335577845573425,1
2night,0.18322204053401947,1
bbffl,0.1823444813489914,1
poor,0.18230327644518443,13
riley,0.18152080476284027,2
china,0.18145721778273582,2
characters,0.18010143438975015,3
void,0.1796378344297409,3
cody,0.17828604578971863,1
weep,0.17772378027439117,1
lucky,0.17765599542430469,14
shakespeare,0.17744280397891998,1
sorrows,0.17736667394638062,1
hobo,0.17723967134952545,1
ringo,0.17700467258691788,2
wowww,0.17688485980033875,1
excuse,0.17675893157720565,5
dun,0.17631565034389496,1
drakes,0.17617064714431763,1
rewriting,0.1758677065372467,1
pathetic,0.1751406155526638,2
keith,0.1750638782978058,1
epidemic,0.17504875361919403,1
springs,0.17498824000358582,1
wtf,0.17461223238044316,9
translate,0.17448878288269043,1
edge,0.17438853532075882,2
sold,0.17414244636893272,8
odd,0.1739916205406189,1
kardashian,0.17386434972286224,1
wrecks,0.1737785041332245,1
csa,0.17344574630260468,1
manila,0.17330600321292877,1
breakup,0.17326495051383972,1
sesh,0.17287247131268182,3
florida,0.1728641763329506,3
whyy,0.1725635528564453,1
kellen,0.17244276404380798,1
@madiiyoungg,0.1723194122314453,1
parivar,0.17184622585773468,1
bleh,0.17111004889011383,1
@aloss4words,0.1710679829120636,1
buehrle,0.17075339704751968,2
zindabad,0.17073115706443787,1
danny,0.17062877863645554,2
mimzy,0.17002032697200775,1
ughhhhh,0.16979113221168518,1
chilli,0.16931326687335968,1
adele,0.1692451611161232,2
sport,0.1691645085811615,1
era,0.16909732669591904,2
scar,0.16894668340682983,1
vanilla,0.1683581518009305,4
invincible,0.16832923889160156,1
depresses,0.1672557294368744,1
spaghettios,0.16720758378505707,1
bsnl,0.16662448644638062,1
beaten,0.16652297973632812,1
killed,0.16617898643016815,10
natalie,0.16615545749664307,1
sober,0.16603067268927893,3
erica,0.16595442593097687,1
@meaganenewell,0.1653251349925995,1
dunno,0.16523642092943192,2
callin,0.1645776629447937,1
ohboy,0.16441622376441956,1
boston,0.1641530841588974,3
hut,0.16334708034992218,1
dre,0.16304253041744232,1
intrest,0.1628977209329605,1
beliebers,0.1627153754234314,1
t_t,0.16214196383953094,2
tweeted,0.16133923269808292,8
yah,0.16087313244740167,3
grieve,0.16052086651325226,1
sadness,0.1604889277368784,8
turner,0.16027851402759552,1
frnds,0.15930773317813873,1
locked,0.1591588407754898,1
distracted,0.15910333395004272,1
regretably,0.1590726226568222,1
hasbro,0.15823356807231903,1
fag,0.15811698138713837,1
marshmallows,0.15803895890712738,1
ruins,0.1578308530151844,4
nada,0.15750901401042938,1
vitale,0.15593625605106354,1
garbage,0.15589211881160736,1
gtg,0.15584293007850647,1
club,0.15565053839236498,8
@foxcharlotte,0.15504232794046402,2
hun,0.15495680272579193,1
harris,0.15427084267139435,1
dixon,0.1535816341638565,1
dim,0.15346524119377136,1
cullen,0.15342183411121368,1
unfollowed,0.15336554249127707,3
glee,0.1523338221013546,4
speed,0.15181570313870907,2
broke,0.1517789508216083,32
blew,0.15099622309207916,1
romance,0.15080148726701736,2
craig,0.150757297873497,3
s2,0.14982683956623077,1
@davidvonderhaar,0.14961010217666626,1
optic,0.14956623315811157,1
jackson,0.1495643456776937,3
@dsadownick,0.1490791290998459,1
flown,0.14896181225776672,1
midterm,0.1482330858707428,1
nick,0.14822283511360487,3
lando,0.14799951016902924,1
smoothie,0.14799530804157257,1
volleyball,0.14798568934202194,1
holt,0.14775535464286804,1
premo,0.14726536348462105,2
faded,0.1472068428993225,2
sunburns,0.1466396301984787,1
:o,0.1462651900947094,6
recently,0.14598575234413147,1
vampire,0.14576686918735504,1
zelda,0.1456490010023117,1
simpson,0.1454191654920578,1
irredeemable,0.1453421264886856,1
chicago,0.14503997191786766,6
anymore,0.14480660513446136,37
kanye,0.14478744069735208,3
teeter,0.14475825428962708,1
spiral,0.14461155235767365,1
shabby,0.1445116400718689,1
salty,0.1443902999162674,2
@wanderlustpizza,0.14436903595924377,1
wanting,0.14432029984891415,8
tears,0.14427765334645906,21
beleive,0.1442398577928543,1
tgif,0.1441943198442459,1
ioffered,0.14399543404579163,1
brb,0.1438312828540802,1
@justcallmekiku,0.14378155767917633,1
downs,0.1429155170917511,1
kitty,0.14285908391078314,3
tendulkar,0.14284084737300873,1
grey,0.14245133846998215,5
2come,0.14222954213619232,1
nje,0.1419631689786911,2
cuts,0.14194124937057495,1
schwinn,0.14191196858882904,1
annihilated,0.14182068407535553,1
solis,0.14129841327667236,2
torn,0.14122042059898376,1
sorry,0.14114626083109114,18
promised,0.14110853523015976,2
mehhh,0.1409645602107048,2
remembered,0.1409181666870912,6
broken,0.14089938146727427,21
episode,0.14084551220431046,16
ain,0.13945430517196655,1
kelli,0.13918768242001534,2
irish,0.13912469148635864,1
gangster,0.1389925628900528,1
kills,0.13879297425349554,3
quits,0.13864238560199738,1
drifting,0.1384420543909073,2
port,0.13838495314121246,2
bla,0.1379554569721222,1
blend,0.13787497580051422,1
mccoy,0.13766971230506897,1
drew,0.1376468390226364,1
press,0.13750559091567993,1
mcdonalds,0.1373090147972107,4
knowwww,0.13701131939888,1
dye,0.13696502149105072,1
shakespear,0.1367896944284439,2
oatmeal,0.1364658623933792,1
weed,0.1363125592470169,2
hatter,0.13612687587738037,1
westboro,0.13608324527740479,1
hashtags,0.13599424064159393,1
netflix,0.13572559878230095,2
vids,0.13542494177818298,1
guh,0.13534629344940186,1
@jerreond,0.13526569306850433,1
alas,0.13507018238306046,3
@maddiery,0.13497090339660645,1
mourning,0.13487136363983154,1
empty,0.13438932171889714,14
aw,0.13436165948708853,3
appetite,0.1343483328819275,1
pry,0.1341729760169983,1
relates,0.1340295374393463,1
cain,0.13383425523837408,3
ending,0.1333785861109694,12
tennessee,0.13328608870506287,1
21st,0.1329539567232132,1
newspapers,0.13277006149291992,1
documentary,0.1324063390493393,1
tragic,0.1323595494031906,1
blehh,0.13195548951625824,2
sydney,0.13185808435082436,2
offended,0.13157963752746582,1
fella,0.13149219751358032,1
haqq,0.1314915418624878,1
gunns,0.13148991763591766,1
regard,0.13145406544208527,1
teared,0.13141392171382904,1
gerome,0.13141025602817535,1
/.,0.13129551708698273,1
amber,0.13112318515777588,1
rough,0.13105612993240356,3
4s,0.13101252913475037,1
joe,0.1309963030119737,5
@mitch_cohen,0.13080774247646332,1
keating,0.13077060878276825,1
clare,0.1305725872516632,1
nyt,0.1303522139787674,1
gel,0.12979084253311157,1
juice,0.129527791403234,4
brunos,0.12931638956069946,1
emory,0.12924239039421082,1
advertisements,0.12910762429237366,1
breaths,0.12907244265079498,1
@danticoa,0.1287696212530136,1
crackers,0.1286223977804184,1
bianca,0.12855274975299835,1
lacking,0.1285080909729004,1
xfactor,0.12821269780397415,3
miller,0.1280265785753727,4
server,0.12801368720829487,4
trufax,0.127997487783432,1
shame,0.12772793003490993,14
sadly,0.12766496198517935,7
startup,0.12757861614227295,1
devastating,0.12756706774234772,1
wish,0.12752171521705966,91
aslkfnekrjn,0.12750013172626495,1
satiated,0.1274360865354538,1
@kelly_clarkson,0.12742414698004723,2
cockblocks,0.12731997668743134,1
easily,0.1268150545656681,2
collection,0.12648194283246994,2
marks,0.12646415829658508,1
ahhhhhh,0.1264118105173111,1
dryspell,0.12631016969680786,1
fanfictions,0.12625063955783844,1
magnus,0.12607496976852417,1
hummus,0.12602391839027405,1
stampede,0.12590622901916504,1
retweets,0.1256360560655594,1
california,0.12537722289562225,1
qt,0.12526251375675201,1
taylor,0.12493759617209435,5
liberia,0.12474163621664047,1
swanson,0.12455061078071594,1
fired,0.12446889529625575,3
sunk,0.12442580610513687,1
noskyrim,0.12438017874956131,1
junk,0.12429199367761612,2
moo,0.12426755949854851,1
@utorak007,0.12418710440397263,1
lounges,0.12417243421077728,1
betrayal,0.12383108586072922,2
heartbreak,0.12370719760656357,1
daisy,0.12364021688699722,1
disabled,0.12346725165843964,1
homecoming,0.12343232333660126,2
catholic,0.12342857755720615,3
soggy,0.1233912780880928,1
cheesed,0.12323106080293655,1
waaaaaah,0.12283412367105484,1
kleenex,0.12282280623912811,1
atlanta,0.12247278541326523,1
purchased,0.12224840372800827,1
@depresseddarth,0.12218783050775528,1
useless,0.12218483164906502,2
periods,0.12203849479556084,2
af,0.12196332961320877,1
ambition,0.12182603031396866,1
dub,0.12151560187339783,1
nba,0.1214450214590345,7
soap,0.12134705670177937,3
76,0.12120253592729568,1
lonesome,0.12112239003181458,1
disappointed,0.12111147046089173,10
poachers,0.1210799366235733,1
mars,0.12088837195187807,4
@fanzinator,0.12085128677162257,11
strip,0.12080498039722443,2
feasting,0.12077294290065765,1
ran,0.12074848690203258,7
boooooooo,0.12069717049598694,1
bubbers,0.1206652894616127,1
morgan,0.12057016603648663,4
mcdonald,0.12056314200162888,1
gradschoolproblems,0.12047497928142548,1
losing,0.12044441543127361,19
desperate,0.1203831856449445,6
reasons,0.12032980285584927,3
@hilarychamp,0.12029648572206497,1
josh,0.12021639049053193,10
dry,0.12018205473820369,3
favre,0.1201113611459732,1
whitout,0.11994429677724838,1
crushed,0.11991308815777302,4
asssss,0.11985374987125397,1
expired,0.11980406567454338,2
):,0.11978218675051865,18
darn,0.1195770725607872,2
primera,0.11933790147304535,1
sauce,0.119289830327034,1
#imactuallyheartbroken,0.11927274614572525,1
laf,0.11922945827245712,1
gifted,0.11912144348025322,2
participate,0.11900342752536137,3
copper,0.11880047619342804,1
robinson,0.11869500577449799,1
winds,0.11863835901021957,1
bench,0.11849907785654068,1
waaaa,0.11844609677791595,1
bleaker,0.11838605254888535,1
visited,0.11829453706741333,1
pasta,0.11764322221279144,1
nooooooo,0.117345429956913,1
r.i.p,0.11728109419345856,1
billy,0.11719902977347374,3
ecuador,0.11713665723800659,1
gordons,0.11703205853700638,1
@kristennblack,0.11662448197603226,1
pbs,0.1165747344493866,1
