,word,score,word_count
0,@ms_mary_macc,0.008367098539990063,3
1,its,0.00302551007621772,598
2,cute,0.009085168040128145,70
3,watching,0.0027798120071252617,236
4,her,0.006772181272139045,619
5,tryna,0.0046339746466393696,24
6,guess,0.008058240818066373,361
7,stuff.,0.008653330625836491,23
8,see,0.005354249725826896,663
9,the,0.0029202116243391666,11531
10,wheels,0.008367098539990063,3
11,"spinning,",0.008367098539990063,3
12,but,0.004112211132492519,1482
13,r,0.002850598268243702,63
14,they,0.0047640800890373725,846
15,spinning,0.008367098539990063,3
16,in,0.0034549777726013194,5142
17,mud?,0.008367098539990063,3
18,lol.,0.006570147850868478,53
19,i,0.004621738003335678,11099
20,love,0.003910610161383953,1362
21,you,0.004679040302302274,4453
22,babe.,0.008367098539990063,3
23,@lizpenny,0.014452171683418176,1
24,haha,0.008119462225366574,216
25,yer!,0.014452171683418176,1
26,julian,0.014452171683418176,1
27,told,0.007844908121960904,311
28,mike,0.0067173347720337236,13
29,to,0.003950545008202331,10315
30,take,0.003964783603084363,263
31,me,0.004667608731574004,2672
32,round!,0.014452171683418176,1
33,lol!,0.0068453578185112916,16
34,x,0.00401458078544508,79
35,if,0.004087094267694967,802
36,post,0.005158940560137967,58
37,a,0.004839459550109624,8870
38,football,0.0017519636268461154,40
39,status,0.006036003649380292,15
40,on,0.004304036423471001,2968
41,fb,0.005075686724616232,47
42,"today,",0.00548786428262839,109
43,will,0.004067146936019346,967
44,be,0.0037043186475758582,2192
45,buried,0.0035835071641001073,1
46,alive.,0.0011965117665499747,4
47,just,0.004952827631213686,2232
48,left,0.004273079303938346,281
49,@tykeyes92,0.004082372443032606,1
50,and,0.0033401030456444653,6860
51,@jussayin_shell,0.004082372443032606,1
52,im,0.005876750567960166,558
53,pretty,0.007206479965298318,229
54,sure,0.005488964669422265,125
55,i'm,0.005273521300586164,1833
56,gonna,0.006511175800922943,514
57,cry,0.0004797928919505364,63
58,myself,0.00369219523003904,139
59,sleep,0.0023173084863579653,223
60,tonight.,0.006279729142830494,122
61,yay!,0.007702713565561983,9
62,done,0.004371131445998516,163
63,with,0.0039241395265312146,2239
64,one,0.0030089534525275753,1194
65,final!,0.0005562994050736354,1
66,...now,0.0033039122073713167,4
67,continue,0.0017123945491946525,14
68,hating,0.0003853114386761479,7
69,my,0.004865838927618088,7385
70,life,0.001105198362447569,363
71,studying,0.002140053520906054,53
72,for,0.004757840205153014,4778
73,next,0.005372635678457898,470
74,one...,0.0035988940455087383,5
75,@maliamorgan,0.005892761605658354,6
76,by,0.0023732670137675297,615
77,"way,",0.004201686907136483,18
78,ended,0.0028122460222358412,45
79,up,0.004470316337917141,1559
80,getting,0.004662290655337819,421
81,99%,0.0031541679291187375,13
82,that,0.0038070909164339664,3109
83,math,0.004329956129947127,54
84,test,0.004399681080546456,127
85,thought,0.006310037301833428,412
86,beat,0.002150180761410149,55
87,on...#maybenexttime,0.005892761605658354,6
88,#lol,0.00618381610126492,13
89,realized,0.005069635583724677,61
90,going,0.005599664535045101,987
91,like,0.0036425210600956105,1172
92,10,0.0033836533106717313,76
93,months,0.005089110618770537,79
94,before,0.004673765661760736,251
95,back,0.0035370774242960822,723
96,at,0.003998517225876675,1864
97,@willybusc!!,0.00313898469274136,1
98,(not,0.00369508591869362,8
99,including,0.005121190649721635,14
100,spring,0.0031380961914252714,6
101,game),0.0017782157241951306,2
102,#gococks,0.00313898469274136,1
103,@chrisbharrison,0.007178523169495747,1
104, ,0.0038832523378598866,3511
105,might,0.005288691055891491,169
106,all-time,0.006144395044684643,2
107,favorite,0.004308006356633681,77
108,game,0.00317598250103314,181
109,show!,0.005414256484326264,4
110,what,0.005109904170742994,1177
111,an,0.004404423441510528,919
112,awesome,0.0064686339012164995,96
113,concept!,0.007178523169495747,1
114,love!!!,0.007178523169495747,1
115,have,0.0035443036430860882,2468
116,face,0.0019216098469059752,198
117,it.,0.003267385320426012,310
118,suck,0.0011539036453737544,23
119,statistics,0.003897890008190492,5
120,always,0.004423770473045937,263
121,will.,0.00501082588686885,21
122,(miracle,-0.00013693190733344332,4
