,word,score,word_count
0,i,-0.005746086151133995,28872
1,purchased,-0.00414723577547292,904
2,this,-0.004499472176648558,23975
3,toy,-0.006424190661052332,5244
4,for,-0.0037598222286635554,21093
5,my,-0.004019918052196808,14480
6,daughter's,-0.004248633897009322,147
7,2nd,-0.006048431662866014,111
8,birthday,-0.0013780757601937529,363
9,"gift,",-0.007105009661303357,92
10,she,-0.004185488188519514,4861
11,loves,-0.00022516615246388552,2270
12,it.,-0.004345024534943364,3795
13, ,-0.004782109133191738,35176
14,however,-0.005405395327160355,200
15,the,-0.005031453168387429,78725
16,tambourine,-0.0058132013881986395,39
17,is,-0.004252842559496606,27057
18,cheaply,-0.011185686004280652,372
19,made.,-0.0072922334471418535,207
20,its,-0.0039889779161325625,1318
21,like,-0.005278409179637753,5202
22,paper.,-0.005777452947011966,37
23,since,-0.004025048527827189,1227
24,daughter,-0.004825565128273213,2267
25,doesnt,-0.008125944116382445,81
26,know,-0.005470824777165136,1118
27,"better,",-0.005898243902955443,45
28,will,-0.004323044522064359,4435
29,use,-0.004241988480900678,1977
30,other,-0.00479621833565766,3389
31,instruments,-0.0018473976306341059,116
32,to,-0.004405842188718222,41840
33,hit,-0.004228752267456216,413
34,it,-0.0053195735739646295,33040
35,drum.,-0.0022727926677265755,14
36,expect,-0.005511831716662611,255
37,break,-0.004760529981383034,299
38,first.,-0.0024565909418843234,57
39,6-year-old,-0.002675978446834522,35
40,grandson,0.00017897372236028207,359
41,challenges!,0.013246562925050966,1
42,ordered,-0.005528057944369336,362
43,a,-0.0040771335825336005,39165
44,number,-0.002869322192250315,497
45,of,-0.004393042247288978,25210
46,activity-type,0.013246562925050966,1
47,books,-0.003877358136469928,290
48,him,-0.00333637216439394,1377
49,"and,",-0.005313450667698708,190
50,thanks,-0.002630003470311171,54
51,"amazon,",-0.007392252886101556,78
52,he's,-0.004152220770424789,438
53,been,-0.003904435657758415,1500
54,busy,-0.003253336044978407,130
55,continuing,0.0029174307058964792,6
56,learn,-0.0025667553926185718,804
57,during,-0.003955696338722378,325
58,vacation,0.003346435426774406,15
59,time.,-0.0027183008452654864,737
60,similar,-0.004794893549993926,254
61,"scrabble,",-0.004069806793001434,41
62,bananagrams,0.003285965554565805,22
63,players,-0.0012631625956064,965
64,letter,-0.0043401020553072035,237
65,tiles,-0.003388971217751576,309
66,make,-0.005471863342817539,2589
67,series,-0.0015422870613065872,59
68,intersecting,0.0014566801972553853,2
69,words.,0.0014787051092711272,39
70,but,-0.005314750866938769,10785
71,in,-0.004938716173263989,15223
72,many,-0.003982144490502901,1716
73,"ways,",-0.00029519912450875075,4
74,consider,-0.0038035752365705735,135
75,superior,-0.003213161826646885,30
76,game,-0.003149395553059015,10167
77,that,-0.004865974135521646,15308
78,inspired,0.0006115083926750067,13
79,it's,-0.0038010989973179467,4742
80,fast,-0.002620689782126093,224
81,and,-0.003929562516503489,44904
82,simple,-0.0012915370465995397,684
83,-,-0.004254123039182731,2148
84,no,-0.00677957502856274,2873
85,"values,",0.00038388592205423227,4
86,score,-0.0005273756079855835,106
87,"multipliers,",0.0029643101191444052,1
88,waiting,-0.0041694737544467194,121
89,your,-0.004552850184245488,3972
90,next,-0.004808525367002629,473
91,turn.,-0.003305678206943483,87
92,simultaneously,-0.0018479550925354087,9
93,build,-0.0010456893961260647,341
94,their,-0.0031864663519403937,2343
95,own,-0.0030439251498919078,851
96,set,-0.002465995207304211,1481
97,crosswords,0.0029643101191444052,2
98,using,-0.002812028067258739,544
99,pile,-0.0070978020492335455,96
100,letters,-0.0052169636667083,449
101,drawn,-0.005777459508950169,85
102,at,-0.005289051835920514,5898
103,start,-0.0042177577763503225,511
104,game.,-0.0034782428754882577,2158
105,if,-0.005148891357627129,5164
106,you,-0.004575857857243331,13541
107,don't,-0.006729184408279271,3035
108,way,-0.0040922961484315045,1314
109,are,-0.004133676863775082,10536
110,turning,-0.004171948283069532,128
111,"out,",-0.006763603689162499,224
112,simply,-0.0062947967775831256,381
113,pull,-0.006485814969684168,456
114,apart,-0.006919836282472664,473
115,some,-0.004497113211569633,2858
116,"words,",-0.004604967181805131,57
117,again.,-0.006693186598438004,427
118,have,-0.004698519906222742,10531
119,can't,-0.005251977189935555,1280
120,"use,",-0.0036427635155155424,85
121,throw,-0.005353923178462618,180
122,them,-0.004035416264661535,3755
123,back,-0.005746342563898813,1657
124,community,-0.004986497486660841,11
125,take,-0.0030357295872143015,1447
126,new,-0.00385866483243509,1258
127,ones.,-0.0012376915662514313,97
128,key,-0.005214378926733361,97
129,winning,-0.0018705327906562443,83
130,speed,-0.0006567376451230049,66
131,agility.,0.0029643101191444052,1
132,when,-0.004732644985087447,5526
133,one,-0.004644495347077991,6722
134,player,-0.0012493452101763913,893
135,uses,-0.0034790379537623464,274
136,up,-0.004370875000010332,4123
137,all,-0.0038510068811097183,5436
138,"letters,",-0.004920299713021901,81
139,everyone,-0.0014506551699715751,418
140,has,-0.0034143645770960207,4835
141,another,-0.004694653743117502,1086
142,from,-0.004682977805159076,3629
143,pile.,-0.00695350176937934,28
144,with,-0.0037571613918433427,14416
145,these,-0.003030103830197504,2224
146,flying,-0.005598234933181757,174
147,"around,",-0.0051484111243607555,130
148,you'll,-0.004561434188013214,399
149,words,-0.0033043564589976277,281
150,ones,-0.002605332204428682,419
151,on,-0.005007461159037951,11110
152,fly.since,0.0029643101191444052,1
153,point,-0.00538620182135071,421
154,"value,",-0.0047930451227471095,78
155,winner,-0.002365238373886088,64
156,round,-0.002171647178171551,191
157,first,-0.004136850003090549,1970
158,person,-0.005066877367344642,384
159,once,-0.004607696203584318,926
160,gone.,-0.006581882625857517,28
161,unique,-0.00031304803284468277,127
162,more,-0.004326629413250845,4213
163,"have,",-0.004187750197949646,46
164,faster,-0.003638016661718929,86
165,goes.,-0.0005415816023507248,16
166,two,-0.004566275191664727,2137
167,long,-0.003113185496574445,838
168,rounds,-0.0029374317794122087,126
169,very,-0.0049844710593074815,5571
170,large,-0.003081418573924302,429
171,"crosswords,",0.0029643101191444052,1
172,while,-0.004132721025468933,1399
173,six,-0.003282413692274229,235
174,lasting,0.0002764064994588327,24
175,about,-0.004932779871185483,3093
176,five,-0.003275383522553995,347
177,"minutes.overall,",0.0029643101191444052,1
178,great,-6.646262417438877e-05,3671
179,scrabble,-0.00029641545015764875,81
180,substitute.,-0.0010706077957860947,3
181,"fact,",-0.006905805659294275,153
182,i've,-0.003550966805220142,650
183,played,-0.00342331395372045,1923
184,actually,-0.005993987602864907,838
185,likes,-0.0017540563326790793,597
186,better,-0.006319115332212746,1438
187,than,-0.005478890626572704,2780
188,scrabble.,0.0020462342862189566,10
189,top,-0.00636729656549866,769
190,"off,",-0.006861340939451786,156
191,high,-0.004788473638069198,479
192,quality,-0.005835896836887436,1008
193,come,-0.005069132622329319,1064
194,banana-shaped,0.0007003801398377619,2
195,"pouch,",0.003911157437220633,2
196,which,-0.004432066415548807,2861
197,travel.,0.0009613300731879939,7
198,just,-0.005489890411916218,5823
199,how,-0.004481713802603866,2272
200,remember,-0.005492351401971457,515
201,was,-0.0064184980592207575,9591
202,growing,-0.002062612696370883,96
203,brooklyn.,0.0019176547985853176,1
204,only,-0.005381171985912998,3138
205,difference,-0.00529940255525323,87
206,sticks,-0.007720825518095099,268
207,plastic,-0.0073693281980301215,1314
208,not,-0.00747835963003665,10672
