,Word,Value
0,jell,0.6100592949545448
1,yakisoba,0.7688878234381222
2,amway,0.8332709386887486
3,kava,0.8043433660876178
4,sunbutter,0.5030847464787177
5,oxbow,0.7694485470416494
6,morels,0.766813206324487
7,pikes,0.5667495048430976
8,bisquik,0.5242704180165714
9,aveda,0.5799135880339489
10,ocha,0.5110724051672513
11,pigskin,0.7033530179171182
12,kohls,0.6905052518199789
13,glico,0.6863541724384199
14,smarties,0.6785352359700274
15,beckham,0.670195187190888
16,nutrisystem,0.37983607094764277
17,aruba,0.6622329294360446
18,cerial,0.41741636964938894
19,chobani,0.557138693665638
20,fdc,0.6555047680330461
21,runts,0.6478592844307348
22,diamonds,0.6451424821497596
23,crabmeat,0.5169133353091848
24,cherimoyas,0.6397708572101396
25,horehound,0.6387940203584235
26,bleagh,0.6320213351046601
27,plasticky,0.5112168694305741
28,chutney,0.43156042831550967
29,edamame,0.21183104207841907
30,berbere,0.6263020709190342
31,bilberry,0.6258182205150169
32,haribos,0.4685278722016623
33,inhaler,0.22362919128140996
34,midrowave,0.6166123807260848
35,trolli,0.3913831384025326
36,glitter,0.2204970954253282
37,rcv,0.6148335865953855
38,20oz,0.4535724157361982
39,corndog,0.6057915825004463
40,mee,0.6057692499251548
41,nesquik,0.36097298599469674
42,grabbers,0.6020467141516509
43,lambs,0.6018784527865786
44,ochun,0.601375939162116
45,zoji,0.5987960533302105
46,arame,0.5981228648826011
47,crepe,0.33516682588498303
48,jane,0.4042851369449828
49,socal,0.38103713813883755
50,corned,0.4211471769172554
51,expencive,0.590000420845992
52,gumdrops,0.5881444351388975
53,tarallini,0.5871620288773227
54,hempseeds,0.5865387598840061
55,stroopwafeln,0.5855001487616347
56,aw,0.5822903378856842
57,coldaid,0.5815725249452134
58,garrett,0.2774818391448419
59,clamato,0.5764570387882859
60,supersweet,0.5759720721229155
61,marzipan,0.13404567981205573
62,prickly,0.016525827195719156
63,chocula,0.45828585389744964
64,mongo,0.5703380393816072
65,raspberrys,0.1986121414622336
66,af,0.3005645775941552
67,croccantini,0.3603875336357553
68,dumplings,0.2599965205962808
69,tgive,0.560913666058244
70,ethoxyquin,0.5567048567248347
71,jpg,0.5558591863436516
72,krave,0.5557007684637684
73,chipsters,0.5551581528890592
74,kalamata,0.5539237674904505
75,whoop,0.5536177076281599
76,bcoz,0.5523965968041776
77,quebec,0.5519118541082979
78,stroopwafels,0.12185986478665234
79,sping,0.5498222125824768
80,happend,0.5495527453473417
81,significance,0.4684895508213174
82,shepards,0.39284562717464444
83,mxl,0.2909257503815819
84,taists,0.5470847276958192
85,thesnack,0.5469265447667052
86,sheen,0.2447291997551167
87,whitman,0.5449159735662222
88,arthuritis,0.5436181802679828
89,dehidrated,0.5434154827629342
90,locker,0.54276040035894
91,nevella,0.5422808664030332
92,powergel,0.5404318917437487
93,cincinnati,0.25018923053139946
94,bebere,0.5367993539156257
95,wulong,0.3659777448283883
96,flathau,0.5350409075859479
97,sucrolose,0.3720865520966015
98,mauritius,0.32758708370395534
99,18g,0.38189794214638073
100,har,0.5325122705136074
101,forless,0.5321324955147931
102,definitly,0.30883770354608897
103,kobe,-0.03311600668296344
104,pez,0.021704776248388402
105,stein,0.5301950554294628
106,tooks,0.5300122284100339
107,clunky,0.34157286054965896
108,pera,0.529378275009012
109,scotland,0.4270525115056661
110,pakaged,0.5284828491824509
111,tcp,0.5281587739211433
112,hully,0.5269349259236116
113,necap,0.5249299024072264
114,breadcrumbs,0.29071857338037543
115,hemical,0.5235113907735133
116,cigars,0.5233993282293443
117,kohl,0.5230251807643572
118,kitts,0.18451932676862076
119,68oz,0.5218032696117524
120,mfr,0.5217906660715094
121,exceed,0.2906479567869614
122,wasaibi,0.5206383808728979
123,hydroginated,0.5204616458863095
124,donot,0.5196727036499604
125,tetley,0.4297355280121427
126,decaff,0.23626616933622552
127,hives,0.3903798593754555
128,tartar,0.30131614018112274
129,orangeade,0.5160946794048576
130,cherios,0.5156462465518313
131,chololate,0.5154870870841631
132,1739,0.515170530319273
133,bizzare,0.28988158478099946
134,muncho,0.5145341418521161
135,styrofaom,0.5145216688398155
136,poker,0.5140786449829137
137,tbe,0.5135137654515964
138,mangosteen,0.3146845282327843
139,emorgan,0.513015251337781
140,prepaired,0.5117616952640146
141,yama,0.2574063746950625
142,gallbladder,0.5101098142788687
143,matchasource,0.5100115338117339
144,puk,0.5094387978452529
145,squirels,0.5085376438510789
146,curdles,0.508413707258969
147,disco,0.507438820595479
148,pemmican,0.10483561110937767
149,becouse,0.5065411793240164
150,tenderloin,0.3059195529555263
151,krups,0.3019253334916726
152,bisquit,0.32228142375378577
153,36lbs,0.5047462121178462
154,equivalency,0.5044476802768897
155,stanky,0.5042461745454965
156,chuckles,0.13666819214942078
157,honestlyy,0.5036069426499581
158,opinon,0.5036069426499581
159,scouts,0.28135740555464683
160,cosmo,0.10931896511540401
161,yyuuukk,0.5020264001673843
162,ogs,0.5018320900199075
163,ceasers,0.5018320900199075
164,x12,0.5015606248695009
165,blondies,0.501449029601144
166,rubberband,0.5012043826803251
167,nissan,0.5009693485878063
168,lololololonly,0.5006355189145282
169,likeing,0.5005028843439312
170,luxardo,0.24811743665741448
171,gibe,0.5002087697297275
172,semolina,0.361140163602391
173,pastorelli,0.20860338138524714
174,pepino,0.38269134462709703
