,Word,Value
0,pump,0.9303679989836912
1,ëšâ,0.8657215396874544
2,hatar,0.8519500059697076
3,thy,0.7851900911887306
4,assessment,0.2857532661715962
5,unpredictable,0.7302425724300367
6,sprained,0.7208319837193992
7,unit,0.3021476696468361
8,correlations,0.6962112588405795
9,hee,0.3781210858474527
10,beef,0.6928194695597205
11,elementary,0.3544865076750804
12,inputting,0.6779095762032251
13,ep,0.329656499954421
14,choice,0.6747825072796583
15,shorts,0.26026653281411744
16,gen,0.6692356996764932
17,astronomy,0.6639447051016608
18,sunny,0.6609916695217254
19,base,0.22181226253250352
20,loyalty,0.6541307457552649
21,whoop,0.6499604310278938
22,underneath,0.6495331679637985
23,youngsters,0.6453621215697106
24,jessnicole210,0.6425342867009567
25,revision,0.3483787098270079
26,timetable,0.6398939367256418
27,graphics,0.6390540978653667
28,erghh,0.6363035051224288
29,badnight,0.6351243813580393
30,tupac,0.6336605331141578
31,orthodontist,0.6330043210585914
32,manage,0.24369004865665445
33,louisck,0.6300929802876067
34,schedule,0.2414850577296852
35,oil,0.6275839038858656
36,whaa,0.6273019248904098
37,epic,0.2057237018678847
38,katiemargolles,0.621177783041205
39,simplest,0.6210831561017027
40,poop,0.15431252414733654
41,sydneyyscott,0.618211857288057
42,looonngggg,0.6175360660350379
43,christmasspirit,0.6169766260811819
44,bosom,0.616820794917845
45,punching,0.6163908316772924
46,philosophy,0.6146174624402889
47,5daysleft,0.6146174624402889
48,topless,0.6140668112028124
49,daddys,0.6128443534942319
50,shortly,0.6127029349570541
51,guides,0.6115363329319163
52,idratherbesleeping,0.6102825841509658
53,someoneentertainme,0.6088674484859173
54,alll,0.6081111333825754
55,awkwardness,0.6064380145085138
56,topic,0.25381116579401114
57,physic,0.6053139767873476
58,wanker,0.604769601662962
59,butreally,0.6041178255708086
60,fugitive,0.6031726299119612
61,gonnabealongday,0.5997558289611771
62,lead,0.3019791559573965
63,puting,0.598298319467778
64,damned,0.5976550204221541
65,numb,0.5956334364934411
66,damnn,0.5951669997885597
67,iim,0.5934349978070477
68,preparation,0.5933963596184259
69,logankellams,0.5913901438105832
70,champion,0.5912743489217844
71,dryer,0.5901626867305052
72,dem,0.24934538655839122
73,nomorepain,0.5857540654179189
74,isa,0.5854351905565488
75,quieter,0.5842364597159633
76,pressed,0.5828480032123773
77,twloha,0.5820098853754981
78,gargle,0.5818568168558573
79,coo,0.581514397317474
80,delays,0.5811002248552772
81,bacon,0.5810607546464615
82,sharif_williams,0.5785438061003989
83,chorus,0.09180294921503979
84,curling,0.5770663894565218
85,230,0.5765824248887049
86,recipe,0.5764758854224936
87,bikes,0.5756560853646417
88,grandbaby,0.5735811912470931
89,immediately,0.2833187800020232
90,gne,0.5705609270700233
91,sittin,0.569780616049159
92,anathaen,0.5684605700657248
93,theatre,0.16251020141112904
94,taster,0.5655832066999438
95,6th,0.3145922207595818
96,steam,0.5652028379550736
97,beastin,0.5649691163845287
98,freeze,0.25721100989829515
99,permanent,0.30707720049234677
100,backfire,0.5628145844853949
101,kicked,0.18307216427619188
102,cranky,0.5625749755572444
103,tin,0.5621564286935347
104,o_o,0.21374105823518508
105,determined,0.22132722948306993
106,sword,0.11229743838012529
107,preachings,0.5601975130918807
108,heading,0.15475301809927777
109,quenched,0.559015364569261
110,easily,0.21885614547120408
111,germans,0.5578790691442784
112,twisted,0.5576974015871717
113,appears,0.26368342260573036
114,jg,0.5557296760277198
115,revelations,0.5548362520035028
116,german,0.17829970403839907
117,failed,0.1925460057854389
118,anddd,0.553786712795213
119,stray,0.10524867377517516
120,walnuts,0.552116062235741
121,controller,0.5507342390307448
122,skyrim,0.26209810979845993
123,rosie,0.5505757983205936
124,hall,0.15620308962003743
125,fever,0.12298268779524674
126,mmmmmm,0.5493577955361437
127,gilman,0.5481828522798518
128,fibro,0.5480676776897443
129,mail,0.20627109556218004
130,bing,0.5471561861273416
131,smyrna,0.5470967885980963
132,robynlynngreen,0.5468538052427012
133,dukeofyorks,0.5468342138998237
134,vinnyguadagnino,0.5461704295247488
135,alek,0.5457847638289951
136,dedicated,0.2101035976976846
137,tuna,0.5456635522395793
138,spinning,0.5455275128063862
139,regulation,0.5447410923617729
140,paint,0.1232837214066203
141,cmichelleo321,0.5441237921361275
142,squat,0.5438626055591536
143,bury,0.2588014947246851
144,scholarship,0.17199233273286557
145,korn,0.542531735854563
146,nfl,0.14797419536888612
147,zoeypoulsen,0.5422594370336261
