Method,TrainData,TestData,modelAcc,modelF1,lexiconAcc,lexiconF1,Within
SVM_STI,nrc_joy,song_joy,0.709,0.701,0.704,0.702,FALSE
SVM_STI,nrc_joy,dialog_joy,0.689,0.692,0.685,0.689,FALSE
SVM_STI,nrc_joy,friends_joy,0.653,0.648,0.656,0.652,FALSE
SVM_STI,nrc_joy,emobank,0.662,0.669,0.641,0.65,FALSE
SVM_STI,nrc_joy,nrc_joy,0.755,0.751,0.742,0.74,TRUE
SVM_STI,nrc_joy,yelp_subset,0.734,0.726,0.719,0.713,FALSE
SVM_STI,nrc_joy,amazon_finefood_subset,0.678,0.673,0.679,0.674,FALSE
SVM_STI,nrc_joy,amazon_toys_subset,0.662,0.662,0.664,0.663,FALSE
SVM_STI,nrc_joy,sst2,0.707,0.706,0.701,0.705,FALSE
SVM_STI,yelp_subset,song_joy,0.669,0.672,0.678,0.68,FALSE
SVM_STI,yelp_subset,dialog_joy,0.743,0.741,0.743,0.742,FALSE
SVM_STI,yelp_subset,friends_joy,0.723,0.717,0.721,0.715,FALSE
SVM_STI,yelp_subset,emobank,0.691,0.696,0.681,0.686,FALSE
SVM_STI,yelp_subset,nrc_joy,0.627,0.62,0.625,0.62,FALSE
SVM_STI,yelp_subset,yelp_subset,0.924,0.923,0.924,0.923,TRUE
SVM_STI,yelp_subset,amazon_finefood_subset,0.812,0.809,0.819,0.816,FALSE
SVM_STI,yelp_subset,amazon_toys_subset,0.825,0.82,0.828,0.823,FALSE
SVM_STI,yelp_subset,sst2,0.798,0.802,0.764,0.772,FALSE
SVM_STI,amazon_finefood_subset,song_joy,0.629,0.615,0.634,0.621,FALSE
SVM_STI,amazon_finefood_subset,dialog_joy,0.722,0.722,0.722,0.723,FALSE
SVM_STI,amazon_finefood_subset,friends_joy,0.701,0.696,0.696,0.689,FALSE
SVM_STI,amazon_finefood_subset,emobank,0.66,0.666,0.653,0.658,FALSE
SVM_STI,amazon_finefood_subset,nrc_joy,0.653,0.647,0.645,0.639,FALSE
SVM_STI,amazon_finefood_subset,yelp_subset,0.881,0.88,0.884,0.882,FALSE
SVM_STI,amazon_finefood_subset,amazon_finefood_subset,0.863,0.862,0.863,0.862,TRUE
SVM_STI,amazon_finefood_subset,amazon_toys_subset,0.816,0.812,0.824,0.822,FALSE
SVM_STI,amazon_finefood_subset,sst2,0.764,0.761,0.772,0.768,FALSE
SVM_STI,amazon_toys_subset,song_joy,0.708,0.694,0.669,0.663,FALSE
SVM_STI,amazon_toys_subset,dialog_joy,0.73,0.731,0.729,0.731,FALSE
SVM_STI,amazon_toys_subset,friends_joy,0.721,0.723,0.725,0.727,FALSE
